,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
48946|SUZ12,4.818200678611757e-18,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
8828|SUZ12,3.1066793098993693e-17,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
4603|SUZ12,5.616834869131896e-17,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
2161|EZH2,1.892267722070616e-16,Mus musculus,EZH2,cr,LF2,Embryonic Stem Cell,Embryo,1.0
39696|SUZ12,2.4838117851835878e-16,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
48947|SUZ12,3.498444071546605e-16,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
41871|EZH2,3.8095033680132706e-14,Mus musculus,EZH2,cr,E14,Embryonic Stem Cell,Embryo,1.0
41904|SUZ12,6.741076517221151e-14,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
48941|SUZ12,1.7348797376073538e-13,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
38475|CBX7,4.478049732691357e-13,Mus musculus,CBX7,cr,E14,Embryonic Stem Cell,Embryo,1.0
38482|SUZ12,9.12077255960565e-13,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
36823|SUZ12,9.12077255960565e-13,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
38481|RNF2,2.482272291699941e-12,Mus musculus,RNF2,predicted transcription factor,E14,Embryonic Stem Cell,Embryo,1.0
48942|SUZ12,2.5147158779118923e-12,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
41903|SUZ12,2.5825803667980324e-12,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
41872|EZH2,3.2518848175955723e-12,Mus musculus,EZH2,cr,E14,Embryonic Stem Cell,Embryo,1.0
39698|SUZ12,3.6307735978299574e-12,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
48949|SUZ12,4.908107545762682e-12,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
9217|ESR1,2.7257417143632717e-11,Mus musculus,ESR1,tf,,,Uterus,0.0
48943|SUZ12,4.583505899009851e-11,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
52906|MEF2C,7.422200302252242e-11,Mus musculus,MEF2C,predicted transcription factor,,Cortical Neuron,,1.0
48948|SUZ12,8.71448114263622e-11,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
4405|MTF2,1.0567922789907252e-10,Mus musculus,MTF2,cr,,Embryonic Stem Cell,Embryo,1.0
58799|SUZ12,1.926553270111638e-10,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
52908|MEF2A,2.4085228318928654e-10,Mus musculus,MEF2A,tf,,Cortical Neuron,,1.0
39689|SUZ12,6.682869045769104e-10,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
2903|SUZ12,1.538821182978048e-09,Mus musculus,SUZ12,cr,V6.5,Embryonic Stem Cell,Embryo,1.0
52905|MEF2C,1.8074803520185372e-09,Mus musculus,MEF2C,predicted transcription factor,,Cortical Neuron,,1.0
57890|SUZ12,1.8097059399722312e-09,Mus musculus,SUZ12,cr,,Thymocyte,Thymus,1.0
52907|MEF2A,2.0884747041699202e-09,Mus musculus,MEF2A,tf,,Cortical Neuron,,1.0
57889|SUZ12,3.338950055105938e-09,Mus musculus,SUZ12,cr,,Thymocyte,Thymus,1.0
41898|EZH2,7.137473294734559e-09,Mus musculus,EZH2,cr,E14,Embryonic Stem Cell,Embryo,1.0
