,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
48946|SUZ12,4.818200678611757e-18,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0,SUZ12
2161|EZH2,1.892267722070616e-16,Mus musculus,EZH2,cr,LF2,Embryonic Stem Cell,Embryo,1.0,EZH2
38475|CBX7,4.4780497326913564e-13,Mus musculus,CBX7,cr,E14,Embryonic Stem Cell,Embryo,1.0,CBX7
38481|RNF2,2.482272291699941e-12,Mus musculus,RNF2,predicted transcription factor,E14,Embryonic Stem Cell,Embryo,1.0,RNF2
9217|ESR1,2.7257417143632717e-11,Mus musculus,ESR1,tf,,,Uterus,0.0,ESR1
52906|MEF2C,7.422200302252242e-11,Mus musculus,MEF2C,predicted transcription factor,,Cortical Neuron,,1.0,MEF2C
4405|MTF2,1.0567922789907251e-10,Mus musculus,MTF2,cr,,Embryonic Stem Cell,Embryo,1.0,MTF2
52908|MEF2A,2.4085228318928654e-10,Mus musculus,MEF2A,tf,,Cortical Neuron,,1.0,MEF2A
51021|JARID2,1.9911624216372498e-08,Mus musculus,JARID2,cr,E14,Embryonic Stem Cell,Embryo,1.0,JARID2
55425|NEUROD2,6.506247417686582e-08,Mus musculus,NEUROD2,tf,,Embryonic Cortex,Brain,1.0,NEUROD2
58789|nan,1.2604574458439025e-07,,,,,,,,nan
5980|HOXC9,2.257377814444357e-07,Mus musculus,HOXC9,tf,Ainv15,Neural Progenitor Cell,Embryo,1.0,HOXC9
9033|TET1,2.3427512270489049e-07,Mus musculus,TET1,cr,P19.6,,Embryo,1.0,TET1
34005|LHX3,3.886429390137069e-07,Mus musculus,LHX3,tf,Ainv15,Neural Progenitor Cell,Embryo,1.0,LHX3
34006|ISL1,7.90636266994673e-07,Mus musculus,ISL1,tf,Ainv15,Neural Progenitor Cell,Embryo,1.0,ISL1
44862|SMARCA4,2.9292450917527387e-06,Mus musculus,SMARCA4,cr,,Epithelium,Neural Tube,1.0,SMARCA4
44|NPAS4,9.605597566711627e-06,Mus musculus,NPAS4,tf,,Cortical Neuron,Neuric,0.0,NPAS4
33273|ASCL1,1.6664319388644494e-05,Mus musculus,ASCL1,tf,,Neural Progenitor Cell,,1.0,ASCL1
49582|FOSB,2.4989642915328604e-05,Mus musculus,FOSB,tf,,Cortical Neuron,Neuric,1.0,FOSB
8831|PHF19,2.6571736052516385e-05,Mus musculus,PHF19,cr,E14,Embryonic Stem Cell,Embryo,1.0,PHF19
34917|KDM2B,6.583044708634715e-05,Mus musculus,KDM2B,cr,E14,Embryonic Stem Cell,Embryo,1.0,KDM2B
34320|REST,8.436621293073972e-05,Mus musculus,REST,tf,,Neural Progenitor Cell,,1.0,REST
35602|5HMC,9.03932668171396e-05,Mus musculus,5HMC,other,E14,Embryonic Stem Cell,Embryo,1.0,5HMC
50164|CHRM2,0.00010278356213498691,Mus musculus,CHRM2,predicted chromatin regulator,,,Limb Bud,1.0,CHRM2
65038|CTCF,0.00012326062048281442,Mus musculus,CTCF,tf,,,Midbrain,1.0,CTCF
49572|JUNB,0.00024094354942018925,Mus musculus,JUNB,tf,,Cortical Neuron,Neuric,1.0,JUNB
49561|FOS,0.000328062774369543,Mus musculus,FOS,tf,,Cortical Neuron,Neuric,1.0,FOS
55534|RAG1,0.0003458205833404764,Mus musculus,RAG1,cr,R1,Embryonic Stem Cell,Embryo,1.0,RAG1
55962|STAG1,0.00036821888868605055,Mus musculus,STAG1,not sure,R1,Embryonic Stem Cell,Embryo,1.0,STAG1
