,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
4603|SUZ12,7.668287121623785e-12,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
2161|EZH2,8.707319963113495e-12,Mus musculus,EZH2,cr,LF2,Embryonic Stem Cell,Embryo,1.0
8828|SUZ12,1.0908951866151597e-11,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
41904|SUZ12,1.2363668072161476e-10,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
56642|RNF2,4.1718108234943236e-10,Mus musculus,RNF2,predicted transcription factor,E14Tg2A,Embryonic Stem Cell,,1.0
48946|SUZ12,6.165316801016956e-10,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
41871|EZH2,6.217475723837167e-10,Mus musculus,EZH2,cr,E14,Embryonic Stem Cell,Embryo,1.0
41903|SUZ12,7.610848467097093e-10,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
48941|SUZ12,7.686041725677194e-09,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
41872|EZH2,1.2358233922980622e-08,Mus musculus,EZH2,cr,E14,Embryonic Stem Cell,Embryo,1.0
48942|SUZ12,1.6698524144806086e-08,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
48943|SUZ12,2.0668211353660635e-08,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
35602|5HMC,4.077825983576714e-08,Mus musculus,5HMC,other,E14,Embryonic Stem Cell,Embryo,1.0
35601|5HMC,4.237517000961666e-08,Mus musculus,5HMC,other,E14,Embryonic Stem Cell,Embryo,1.0
58799|SUZ12,5.7579987428506076e-08,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
48949|SUZ12,8.052236782323665e-08,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
38481|RNF2,1.2224897156795846e-07,Mus musculus,RNF2,predicted transcription factor,E14,Embryonic Stem Cell,Embryo,1.0
48947|SUZ12,1.4854928712825084e-07,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
48948|SUZ12,1.582960934595003e-07,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
36823|SUZ12,1.5950943641339448e-07,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
38482|SUZ12,1.5950943641339448e-07,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
58796|SUZ12,1.8390633817125186e-07,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
8829|SUZ12,2.4383569812503107e-07,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
39696|SUZ12,2.6833534846772746e-07,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
57890|SUZ12,3.7194435907870764e-07,Mus musculus,SUZ12,cr,,Thymocyte,Thymus,1.0
4405|MTF2,4.944230852508773e-07,Mus musculus,MTF2,cr,,Embryonic Stem Cell,Embryo,1.0
48945|SUZ12,5.668152794273846e-07,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
48950|SUZ12,5.772411539893864e-07,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
39689|SUZ12,1.0357767533513511e-06,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
38475|CBX7,1.4541486149706912e-06,Mus musculus,CBX7,cr,E14,Embryonic Stem Cell,Embryo,1.0
9033|TET1,2.359737249933607e-06,Mus musculus,TET1,cr,P19.6,,Embryo,1.0
52908|MEF2A,2.6476632460121295e-06,Mus musculus,MEF2A,tf,,Cortical Neuron,,1.0
2903|SUZ12,6.303649744728407e-06,Mus musculus,SUZ12,cr,V6.5,Embryonic Stem Cell,Embryo,1.0
47765|RNF2,7.614279505410394e-06,Mus musculus,RNF2,predicted transcription factor,MS12,Embryonic Stem Cell,Embryo,1.0
48951|SUZ12,1.3404504134956561e-05,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
33273|ASCL1,1.8398099288918063e-05,Mus musculus,ASCL1,tf,,Neural Progenitor Cell,,1.0
57889|SUZ12,2.158935885345013e-05,Mus musculus,SUZ12,cr,,Thymocyte,Thymus,1.0
52907|MEF2A,2.335741002165864e-05,Mus musculus,MEF2A,tf,,Cortical Neuron,,1.0
