,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
4603|SUZ12,7.668287121623785e-12,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0,SUZ12
2161|EZH2,8.707319963113495e-12,Mus musculus,EZH2,cr,LF2,Embryonic Stem Cell,Embryo,1.0,EZH2
56642|RNF2,4.1718108234943236e-10,Mus musculus,RNF2,predicted transcription factor,E14Tg2A,Embryonic Stem Cell,,1.0,RNF2
35602|5HMC,4.077825983576714e-08,Mus musculus,5HMC,other,E14,Embryonic Stem Cell,Embryo,1.0,5HMC
4405|MTF2,4.944230852508773e-07,Mus musculus,MTF2,cr,,Embryonic Stem Cell,Embryo,1.0,MTF2
38475|CBX7,1.4541486149706912e-06,Mus musculus,CBX7,cr,E14,Embryonic Stem Cell,Embryo,1.0,CBX7
9033|TET1,2.359737249933607e-06,Mus musculus,TET1,cr,P19.6,,Embryo,1.0,TET1
52908|MEF2A,2.647663246012129e-06,Mus musculus,MEF2A,tf,,Cortical Neuron,,1.0,MEF2A
33273|ASCL1,1.8398099288918066e-05,Mus musculus,ASCL1,tf,,Neural Progenitor Cell,,1.0,ASCL1
51021|JARID2,7.273328799343019e-05,Mus musculus,JARID2,cr,E14,Embryonic Stem Cell,Embryo,1.0,JARID2
52906|MEF2C,9.590713047392664e-05,Mus musculus,MEF2C,predicted transcription factor,,Cortical Neuron,,1.0,MEF2C
55425|NEUROD2,0.00016045889571351016,Mus musculus,NEUROD2,tf,,Embryonic Cortex,Brain,1.0,NEUROD2
40161|SOX2,0.00020168360600492118,Mus musculus,SOX2,tf,,Embryonic Stem Cell,Embryo,1.0,SOX2
58789|nan,0.0002465945010654523,,,,,,,,nan
59428|HEY1,0.0003208798322583942,Mus musculus,HEY1,tf,,Embryonic Stem Cell,Embryo,1.0,HEY1
34005|LHX3,0.0006617875519653067,Mus musculus,LHX3,tf,Ainv15,Neural Progenitor Cell,Embryo,1.0,LHX3
53132|ZFP57,0.0015332070110222235,Mus musculus,ZFP57,tf,,Embryonic Stem Cell,,1.0,ZFP57
52523|TFAP2C,0.0020315437836869485,Mus musculus,TFAP2C,predicted transcription factor,,,Mammary Gland,1.0,TFAP2C
39687|UTF1,0.0024864451173035283,Mus musculus,UTF1,tf,,Embryonic Stem Cell,Embryo,1.0,UTF1
3002|ATOH1,0.0039385861065139695,Mus musculus,ATOH1,tf,,,Cerebellum,0.0,ATOH1
65038|CTCF,0.0039385861065139695,Mus musculus,CTCF,tf,,,Midbrain,1.0,CTCF
5980|HOXC9,0.004080884078768328,Mus musculus,HOXC9,tf,Ainv15,Neural Progenitor Cell,Embryo,1.0,HOXC9
8329|SOX3,0.004263804333965526,Mus musculus,SOX3,predicted transcription factor,,Neural Progenitor Cell,Embryo,0.0,SOX3
36824|PITX1,0.00450600931498366,Mus musculus,PITX1,tf,,Epithelium,Embryonic Hindlimb Bud,1.0,PITX1
8831|PHF19,0.004514329937219628,Mus musculus,PHF19,cr,E14,Embryonic Stem Cell,Embryo,1.0,PHF19
44|NPAS4,0.004601923152924834,Mus musculus,NPAS4,tf,,Cortical Neuron,Neuric,0.0,NPAS4
44862|SMARCA4,0.004963771585924955,Mus musculus,SMARCA4,cr,,Epithelium,Neural Tube,1.0,SMARCA4
55962|STAG1,0.005093433371940561,Mus musculus,STAG1,not sure,R1,Embryonic Stem Cell,Embryo,1.0,STAG1
2862|NANOG,0.006165104043136379,Mus musculus,NANOG,tf,V6.5,Embryonic Stem Cell,Embryo,1.0,NANOG
