,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
4603|SUZ12,5.107109333451287e-15,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
48947|SUZ12,7.019267057309558e-15,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
48946|SUZ12,9.802086546635169e-15,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
48949|SUZ12,4.401506261271325e-14,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
48941|SUZ12,4.560777108257481e-14,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
48943|SUZ12,4.3146766127604895e-13,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
48942|SUZ12,8.297248110537588e-13,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
48948|SUZ12,1.1508598390052645e-12,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
41871|EZH2,2.4705385096965767e-12,Mus musculus,EZH2,cr,E14,Embryonic Stem Cell,Embryo,1.0
41904|SUZ12,5.6203029760173484e-12,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
2161|EZH2,1.2605782798646481e-11,Mus musculus,EZH2,cr,LF2,Embryonic Stem Cell,Embryo,1.0
38481|RNF2,1.6474753993521845e-11,Mus musculus,RNF2,predicted transcription factor,E14,Embryonic Stem Cell,Embryo,1.0
8828|SUZ12,5.751712607699418e-11,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
36823|SUZ12,1.1418907716652743e-10,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
38482|SUZ12,1.1418907716652743e-10,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
58799|SUZ12,2.8576309123124233e-10,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
41903|SUZ12,3.203757098469717e-10,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
39696|SUZ12,5.178079555549635e-10,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
41872|EZH2,9.041609484533368e-10,Mus musculus,EZH2,cr,E14,Embryonic Stem Cell,Embryo,1.0
48950|SUZ12,3.0369375137673473e-09,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
41898|EZH2,5.510255119014747e-09,Mus musculus,EZH2,cr,E14,Embryonic Stem Cell,Embryo,1.0
57890|SUZ12,1.057119386108143e-08,Mus musculus,SUZ12,cr,,Thymocyte,Thymus,1.0
48945|SUZ12,6.073066837879109e-08,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
56642|RNF2,6.16958074260073e-08,Mus musculus,RNF2,predicted transcription factor,E14Tg2A,Embryonic Stem Cell,,1.0
8829|SUZ12,6.270664432216277e-08,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
4405|MTF2,7.619566535445248e-08,Mus musculus,MTF2,cr,,Embryonic Stem Cell,Embryo,1.0
38475|CBX7,1.9275028713478376e-07,Mus musculus,CBX7,cr,E14,Embryonic Stem Cell,Embryo,1.0
48944|SUZ12,2.904136350413027e-07,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
58796|SUZ12,4.4569949838347474e-07,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
39689|SUZ12,4.827776481279514e-07,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
35602|5HMC,8.360534450546632e-07,Mus musculus,5HMC,other,E14,Embryonic Stem Cell,Embryo,1.0
4602|SUZ12,1.1421767538395955e-06,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
34713|RNF2,1.479269695411347e-06,Mus musculus,RNF2,predicted transcription factor,E14,Embryonic Stem Cell,Embryo,1.0
51021|JARID2,2.175926265673608e-06,Mus musculus,JARID2,cr,E14,Embryonic Stem Cell,Embryo,1.0
57889|SUZ12,2.4698384543075335e-06,Mus musculus,SUZ12,cr,,Thymocyte,Thymus,1.0
39698|SUZ12,2.6601721445050257e-06,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
34922|RNF2,3.309282718901594e-06,Mus musculus,RNF2,predicted transcription factor,E14,Embryonic Stem Cell,Embryo,1.0
48951|SUZ12,5.264476347005201e-06,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
2903|SUZ12,7.2285479231678944e-06,Mus musculus,SUZ12,cr,V6.5,Embryonic Stem Cell,Embryo,1.0
2167|SUZ12,9.737234690719964e-06,Mus musculus,SUZ12,cr,LF2,Embryonic Stem Cell,Embryo,1.0
2165|JARID2,9.788521174738708e-06,Mus musculus,JARID2,cr,LF2,Embryonic Stem Cell,Embryo,1.0
41897|EZH2,9.95196127426399e-06,Mus musculus,EZH2,cr,E14,Embryonic Stem Cell,Embryo,1.0
53132|ZFP57,1.0632080647884412e-05,Mus musculus,ZFP57,tf,,Embryonic Stem Cell,,1.0
34917|KDM2B,1.4329730586341132e-05,Mus musculus,KDM2B,cr,E14,Embryonic Stem Cell,Embryo,1.0
47765|RNF2,1.4420946025433291e-05,Mus musculus,RNF2,predicted transcription factor,MS12,Embryonic Stem Cell,Embryo,1.0
36202|SUZ12,1.5504256501593673e-05,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
9033|TET1,1.751787320823498e-05,Mus musculus,TET1,cr,P19.6,,Embryo,1.0
44862|SMARCA4,3.343888274580855e-05,Mus musculus,SMARCA4,cr,,Epithelium,Neural Tube,1.0
34022|RNF2,5.779855441668849e-05,Mus musculus,RNF2,predicted transcription factor,,Embryonic Stem Cell,Embryo,1.0
58789|nan,6.422404100225757e-05,,,,,,,
56193|JARID2,9.056413727094993e-05,Mus musculus,JARID2,cr,,Embryonic Stem Cell,Embryo,1.0
59428|HEY1,9.062916232288424e-05,Mus musculus,HEY1,tf,,Embryonic Stem Cell,Embryo,1.0
55425|NEUROD2,0.00016286572960880254,Mus musculus,NEUROD2,tf,,Embryonic Cortex,Brain,1.0
35601|5HMC,0.0001641101586608484,Mus musculus,5HMC,other,E14,Embryonic Stem Cell,Embryo,1.0
36072|SUZ12,0.00017093807267305847,Mus musculus,SUZ12,cr,,Neural Progenitor Cell,,1.0
48362|RNF2,0.00022251990567425926,Mus musculus,RNF2,predicted transcription factor,,Embryonic Stem Cell,Embryo,1.0
4404|JARID2,0.00023355737976943014,Mus musculus,JARID2,cr,,Embryonic Stem Cell,Embryo,1.0
52523|TFAP2C,0.00034141807057170795,Mus musculus,TFAP2C,predicted transcription factor,,,Mammary Gland,1.0
47767|RNF2,0.0003881047714470447,Mus musculus,RNF2,predicted transcription factor,MS12,Embryonic Stem Cell,Embryo,1.0
