,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
4603|SUZ12,5.1071093334512866e-15,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0,SUZ12
41871|EZH2,2.4705385096965767e-12,Mus musculus,EZH2,cr,E14,Embryonic Stem Cell,Embryo,1.0,EZH2
38481|RNF2,1.6474753993521845e-11,Mus musculus,RNF2,predicted transcription factor,E14,Embryonic Stem Cell,Embryo,1.0,RNF2
4405|MTF2,7.619566535445247e-08,Mus musculus,MTF2,cr,,Embryonic Stem Cell,Embryo,1.0,MTF2
38475|CBX7,1.9275028713478373e-07,Mus musculus,CBX7,cr,E14,Embryonic Stem Cell,Embryo,1.0,CBX7
35602|5HMC,8.360534450546631e-07,Mus musculus,5HMC,other,E14,Embryonic Stem Cell,Embryo,1.0,5HMC
51021|JARID2,2.175926265673608e-06,Mus musculus,JARID2,cr,E14,Embryonic Stem Cell,Embryo,1.0,JARID2
53132|ZFP57,1.0632080647884413e-05,Mus musculus,ZFP57,tf,,Embryonic Stem Cell,,1.0,ZFP57
34917|KDM2B,1.4329730586341132e-05,Mus musculus,KDM2B,cr,E14,Embryonic Stem Cell,Embryo,1.0,KDM2B
9033|TET1,1.751787320823498e-05,Mus musculus,TET1,cr,P19.6,,Embryo,1.0,TET1
44862|SMARCA4,3.343888274580855e-05,Mus musculus,SMARCA4,cr,,Epithelium,Neural Tube,1.0,SMARCA4
58789|nan,6.422404100225757e-05,,,,,,,,nan
59428|HEY1,9.062916232288424e-05,Mus musculus,HEY1,tf,,Embryonic Stem Cell,Embryo,1.0,HEY1
55425|NEUROD2,0.00016286572960880254,Mus musculus,NEUROD2,tf,,Embryonic Cortex,Brain,1.0,NEUROD2
52523|TFAP2C,0.00034141807057170795,Mus musculus,TFAP2C,predicted transcription factor,,,Mammary Gland,1.0,TFAP2C
39687|UTF1,0.0006653243461267168,Mus musculus,UTF1,tf,,Embryonic Stem Cell,Embryo,1.0,UTF1
52796|RXRA,0.002352041357809313,Mus musculus,RXRA,tf,,Embryonic Stem Cell,Embryo,1.0,RXRA
50164|CHRM2,0.0023580049961261697,Mus musculus,CHRM2,predicted chromatin regulator,,,Limb Bud,1.0,CHRM2
8831|PHF19,0.002485749208938516,Mus musculus,PHF19,cr,E14,Embryonic Stem Cell,Embryo,1.0,PHF19
54112|SOX9,0.002604437844136412,Mus musculus,SOX9,tf,,Epithelium,Tail,0.0,SOX9
34039|NANOG,0.003152719494171364,Mus musculus,NANOG,tf,,Embryonic Stem Cell,Embryo,1.0,NANOG
5412|NOTCH1,0.003248861021954027,Mus musculus,NOTCH1,both predicted transcription factor and chromatin regulator,,T Lymphocyte,Lymph Node,1.0,NOTCH1
39791|T,0.0056036823228951815,Mus musculus,T,tf,,,Testis,1.0,T
51017|BMI1,0.009382817402147359,Mus musculus,BMI1,cr,,Germline stem cell,,1.0,BMI1
48329|SPI1,0.012341318759387236,Mus musculus,SPI1,predicted transcription factor,,Embryonic Stem Cell,Embryo,1.0,SPI1
43845|SOX2,0.012344203163563402,Mus musculus,SOX2,tf,ZhBTc4,Embryonic Stem Cell,Embryo,1.0,SOX2
34320|REST,0.01245133744634371,Mus musculus,REST,tf,,Neural Progenitor Cell,,1.0,REST
53170|DPPA2,0.012747893416684673,Mus musculus,DPPA2,predicted chromatin regulator,CGR8,Embryonic Stem Cell,Embryo,1.0,DPPA2
58208|POU5F1,0.016799589678016355,Mus musculus,POU5F1,tf,,iPSC,,1.0,POU5F1
33273|ASCL1,0.017806109130963633,Mus musculus,ASCL1,tf,,Neural Progenitor Cell,,1.0,ASCL1
43419|KMT2B,0.022978129224934613,Mus musculus,KMT2B,cr,E14,Embryonic Stem Cell,Embryo,1.0,KMT2B
47291|FEZF2,0.024237857030457576,Mus musculus,FEZF2,tf,,Neurosphere,,1.0,FEZF2
8980|MEN1,0.02939761859205389,Mus musculus,MEN1,tf,3.2N,Embryonic Stem Cell,Embryo,1.0,MEN1
5980|HOXC9,0.032661716763841865,Mus musculus,HOXC9,tf,Ainv15,Neural Progenitor Cell,Embryo,1.0,HOXC9
44|NPAS4,0.03325823648931656,Mus musculus,NPAS4,tf,,Cortical Neuron,Neuric,0.0,NPAS4
33649|RPA,0.035452280777932235,Mus musculus,RPA,other,,B Lymphocyte,,1.0,RPA
9184|PAX3,0.036161775842275534,Mus musculus,PAX3,tf,,Myoblast,Skeletal Muscle,1.0,PAX3
