,coefficients,cell_line,cell_type,tissue
52417,0.49013817933887793,,Cortex,Brain
59470,-0.2932871836375206,V6.5,Embryonic Stem Cell,Embryo
48836,0.2710363573901747,,,Cerebellum
52839,-0.21001768214495356,,Myeloid Cell,
47463,-0.1810626630344983,,Trophoblast Giant Cell,Embryo
59264,0.11573457143792591,,Neuron,Brain
48846,-0.08269667299295973,,,Cerebellum
52488,-0.08052738295326066,G1E,Erythroid Cell,Blood
57184,0.078834711581537,,Haematopoietic Progenitor Cell,
36262,0.022972576180638707,,Macrophage,Bone Marrow
