,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
48946|SUZ12,0.0000000000000000144475002762219964840702844602761822978217201055843891076820938363754952465235674525395757562537855861707341062025307482833296326050219909405708750203611910951596255163592602113248149342512460620742,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0,SUZ12
2161|EZH2,0.00000000000000056765945909411464952220534473024647731210968881138552281175851263794970970287104622053529283491780722032474081047554591447823901383121925486177010432325451781341169215448289304862236383355640934137197,Mus musculus,EZH2,cr,LF2,Embryonic Stem Cell,Embryo,1.0,EZH2
38475|CBX7,1.3435363932501332e-12,Mus musculus,CBX7,cr,E14,Embryonic Stem Cell,Embryo,1.0,CBX7
38481|RNF2,6.4717120551449625e-12,Mus musculus,RNF2,predicted transcription factor,E14,Embryonic Stem Cell,Embryo,1.0,RNF2
9217|ESR1,8.177236665574128e-11,Mus musculus,ESR1,tf,,,Uterus,0.0,ESR1
52906|MEF2C,2.2266583021846031e-10,Mus musculus,MEF2C,predicted transcription factor,,Cortical Neuron,,1.0,MEF2C
4405|MTF2,3.165310791253262e-10,Mus musculus,MTF2,cr,,Embryonic Stem Cell,Embryo,1.0,MTF2
52908|MEF2A,7.224912890180235e-10,Mus musculus,MEF2A,tf,,Cortical Neuron,,1.0,MEF2A
51021|JARID2,5.917714979153388e-08,Mus musculus,JARID2,cr,E14,Embryonic Stem Cell,Embryo,1.0,JARID2
35602|5HMC,1.1659528054153157e-07,Mus musculus,5HMC,other,E14,Embryonic Stem Cell,Embryo,1.0,5HMC
55425|NEUROD2,1.950304303055539e-07,Mus musculus,NEUROD2,tf,,Embryonic Cortex,Brain,1.0,NEUROD2
58789|nan,3.772041287097849e-07,,,,,,,,nan
9033|TET1,6.316658909821804e-07,Mus musculus,TET1,cr,P19.6,,Embryo,1.0,TET1
5980|HOXC9,6.771712243169858e-07,Mus musculus,HOXC9,tf,Ainv15,Neural Progenitor Cell,Embryo,1.0,HOXC9
34005|LHX3,1.1652448602128551e-06,Mus musculus,LHX3,tf,Ainv15,Neural Progenitor Cell,Embryo,1.0,LHX3
