,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
48946|SUZ12,0.0000000000000000144475002762219964840702844602761822978217201055843891076820938363754952465235674525395757562537855861707341062025307482833296326050219909405708750203611910951596255163592602113248149342512460620742,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
8828|SUZ12,0.000000000000000093200063539187999172300826677798977478646027591803810571077929134923886326005174754598463886621429313300425977761029746454841165858184663679847118291101766124944777581127901085142291465157675556303924,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
4603|SUZ12,0.00000000000000016667076838368542560244260875536995995764466046563961617534636896434833635053747265926439781875439973694555529721348412211806540666481173527993775142431593625589341915330379871572786014837839624361184,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
2161|EZH2,0.00000000000000056765945909411464952220534473024647731210968881138552281175851263794970970287104622053529283491780722032474081047554591447823901383121925486177010432325451781341169215448289304862236383355640934137197,Mus musculus,EZH2,cr,LF2,Embryonic Stem Cell,Embryo,1.0
39696|SUZ12,0.0000000000000007451431774364197316027140124404584269131984861249386359343602087711166273079838226596127315572609496435050154416841563298464640221315355285115330466324147581942224184413199841445931435665317491200591,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
48947|SUZ12,0.00000000000000099970722195931410737994773189141516249387727499738268738821946553912631699599911242826869724938204450299344432509184691092995729613928001069793894857976285054323723279462923664910515753315412623771267,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
48941|SUZ12,1.0841327835464654e-13,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
41871|EZH2,1.1257661469699087e-13,Mus musculus,EZH2,cr,E14,Embryonic Stem Cell,Embryo,1.0
48949|SUZ12,1.3095080575453721e-13,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
41904|SUZ12,1.9961809982760315e-13,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
48943|SUZ12,1.2824186157445183e-12,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
38475|CBX7,1.3435363932501332e-12,Mus musculus,CBX7,cr,E14,Embryonic Stem Cell,Embryo,1.0
48942|SUZ12,1.8715029526106264e-12,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
38482|SUZ12,2.7147173398134328e-12,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
36823|SUZ12,2.7147173398134328e-12,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
48948|SUZ12,3.4075520183307617e-12,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
38481|RNF2,6.4717120551449625e-12,Mus musculus,RNF2,predicted transcription factor,E14,Embryonic Stem Cell,Embryo,1.0
41903|SUZ12,7.66009478070373e-12,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
41872|EZH2,9.718170712602614e-12,Mus musculus,EZH2,cr,E14,Embryonic Stem Cell,Embryo,1.0
39698|SUZ12,1.089234258344618e-11,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
9217|ESR1,8.177236665574128e-11,Mus musculus,ESR1,tf,,,Uterus,0.0
52906|MEF2C,2.2266583021846031e-10,Mus musculus,MEF2C,predicted transcription factor,,Cortical Neuron,,1.0
4405|MTF2,3.165310791253262e-10,Mus musculus,MTF2,cr,,Embryonic Stem Cell,Embryo,1.0
58799|SUZ12,3.44535067142715e-10,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
52908|MEF2A,7.224912890180235e-10,Mus musculus,MEF2A,tf,,Cortical Neuron,,1.0
56642|RNF2,1.1959945256379e-09,Mus musculus,RNF2,predicted transcription factor,E14Tg2A,Embryonic Stem Cell,,1.0
39689|SUZ12,2.000800247703438e-09,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
2903|SUZ12,4.614354898180295e-09,Mus musculus,SUZ12,cr,V6.5,Embryonic Stem Cell,Embryo,1.0
57890|SUZ12,4.616370175014595e-09,Mus musculus,SUZ12,cr,,Thymocyte,Thymus,1.0
52905|MEF2C,5.422389759424107e-09,Mus musculus,MEF2C,predicted transcription factor,,Cortical Neuron,,1.0
52907|MEF2A,6.264864071958698e-09,Mus musculus,MEF2A,tf,,Cortical Neuron,,1.0
48950|SUZ12,9.021984992418908e-09,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
41898|EZH2,9.328020411647486e-09,Mus musculus,EZH2,cr,E14,Embryonic Stem Cell,Embryo,1.0
57889|SUZ12,1.0001782013713267e-08,Mus musculus,SUZ12,cr,,Thymocyte,Thymus,1.0
51021|JARID2,5.917714979153388e-08,Mus musculus,JARID2,cr,E14,Embryonic Stem Cell,Embryo,1.0
8829|SUZ12,7.541034002800373e-08,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
35602|5HMC,1.1659528054153157e-07,Mus musculus,5HMC,other,E14,Embryonic Stem Cell,Embryo,1.0
35601|5HMC,1.2708663249538787e-07,Mus musculus,5HMC,other,E14,Embryonic Stem Cell,Embryo,1.0
2167|SUZ12,1.4822533489500245e-07,Mus musculus,SUZ12,cr,LF2,Embryonic Stem Cell,Embryo,1.0
48945|SUZ12,1.4952128790657326e-07,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
55425|NEUROD2,1.950304303055539e-07,Mus musculus,NEUROD2,tf,,Embryonic Cortex,Brain,1.0
34266|ESR1,2.5454734603469475e-07,Mus musculus,ESR1,tf,,Epithelium,Mammary Gland,1.0
58796|SUZ12,3.4441194635137506e-07,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
58789|nan,3.772041287097849e-07,,,,,,,
9033|TET1,6.316658909821804e-07,Mus musculus,TET1,cr,P19.6,,Embryo,1.0
5980|HOXC9,6.771712243169858e-07,Mus musculus,HOXC9,tf,Ainv15,Neural Progenitor Cell,Embryo,1.0
36202|SUZ12,7.231043406275006e-07,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
48944|SUZ12,8.433171245769699e-07,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
34005|LHX3,1.1652448602128551e-06,Mus musculus,LHX3,tf,Ainv15,Neural Progenitor Cell,Embryo,1.0
4602|SUZ12,1.3744292192141572e-06,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
34006|ISL1,2.371890019059464e-06,Mus musculus,ISL1,tf,Ainv15,Neural Progenitor Cell,Embryo,1.0
48951|SUZ12,2.479031646573926e-06,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
34022|RNF2,2.964874857847022e-06,Mus musculus,RNF2,predicted transcription factor,,Embryonic Stem Cell,Embryo,1.0
37946|NEUROD2,3.2481811884088607e-06,Mus musculus,NEUROD2,tf,P19,,Embryo,1.0
34713|RNF2,3.99186384703043e-06,Mus musculus,RNF2,predicted transcription factor,E14,Embryonic Stem Cell,Embryo,1.0
39682|SUZ12,5.021512162584063e-06,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
44862|SMARCA4,8.075551975683659e-06,Mus musculus,SMARCA4,cr,,Epithelium,Neural Tube,1.0
34922|RNF2,9.588404899174563e-06,Mus musculus,RNF2,predicted transcription factor,E14,Embryonic Stem Cell,Embryo,1.0
36071|SUZ12,1.341992272813064e-05,Mus musculus,SUZ12,cr,,Neural Progenitor Cell,,1.0
2165|JARID2,1.3906230413085474e-05,Mus musculus,JARID2,cr,LF2,Embryonic Stem Cell,Embryo,1.0
47765|RNF2,1.4866451916450973e-05,Mus musculus,RNF2,predicted transcription factor,MS12,Embryonic Stem Cell,Embryo,1.0
33273|ASCL1,2.6219652080161637e-05,Mus musculus,ASCL1,tf,,Neural Progenitor Cell,,1.0
41897|EZH2,2.74765581363412e-05,Mus musculus,EZH2,cr,E14,Embryonic Stem Cell,Embryo,1.0
44|NPAS4,2.8748517140408936e-05,Mus musculus,NPAS4,tf,,Cortical Neuron,Neuric,0.0
55426|NEUROD2,3.10009926386412e-05,Mus musculus,NEUROD2,tf,,Embryonic Cortex,Brain,1.0
53132|ZFP57,3.1663737881881815e-05,Mus musculus,ZFP57,tf,,Embryonic Stem Cell,,1.0
34917|KDM2B,3.5246785904052835e-05,Mus musculus,KDM2B,cr,E14,Embryonic Stem Cell,Embryo,1.0
44860|SMARCA4,5.2626204519790054e-05,Mus musculus,SMARCA4,cr,,Epithelium,Limb,1.0
36072|SUZ12,6.664129710426403e-05,Mus musculus,SUZ12,cr,,Neural Progenitor Cell,,1.0
49582|FOSB,7.493257749213722e-05,Mus musculus,FOSB,tf,,Cortical Neuron,Neuric,1.0
8831|PHF19,7.841546234993446e-05,Mus musculus,PHF19,cr,E14,Embryonic Stem Cell,Embryo,1.0
48366|SUZ12,8.8206129846502e-05,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
47715|ESR1,9.915732395404664e-05,Mus musculus,ESR1,tf,,,Aorta,1.0
57231|EZH2,0.00012090108984719183,Mus musculus,EZH2,cr,,Th2,Spleen,0.0
36201|SUZ12,0.0001994258460035203,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
59428|HEY1,0.00021166259173366342,Mus musculus,HEY1,tf,,Embryonic Stem Cell,Embryo,1.0
36070|SUZ12,0.00022561907697921102,Mus musculus,SUZ12,cr,,Neural Progenitor Cell,,1.0
34320|REST,0.0002513504492135943,Mus musculus,REST,tf,,Neural Progenitor Cell,,1.0
56193|JARID2,0.00025177571673812293,Mus musculus,JARID2,cr,,Embryonic Stem Cell,Embryo,1.0
50164|CHRM2,0.0002936894589664618,Mus musculus,CHRM2,predicted chromatin regulator,,,Limb Bud,1.0
34018|RNF2,0.00030678122883820436,Mus musculus,RNF2,predicted transcription factor,,Embryonic Stem Cell,Embryo,1.0
65038|CTCF,0.0003583116608062986,Mus musculus,CTCF,tf,,,Midbrain,1.0
