,0,TF
4603|SUZ12,1.033261992046873e-38,SUZ12
2161|EZH2,8.000715745247343e-35,EZH2
38481|RNF2,1.1720728279101436e-26,RNF2
38475|CBX7,2.136407835176751e-22,CBX7
4405|MTF2,5.99747039320502e-21,MTF2
35602|5HMC,2.6324818881398946e-15,5HMC
51021|JARID2,2.6889456820459593e-15,JARID2
9033|TET1,7.820670354133823e-15,TET1
52908|MEF2A,1.6929040030509652e-13,MEF2A
52906|MEF2C,9.534798048389726e-13,MEF2C
55425|NEUROD2,1.042755020389175e-12,NEUROD2
58789|nan,1.2130548195047443e-12,nan
9217|ESR1,1.893422325045173e-10,ESR1
44862|SMARCA4,2.0968761809949606e-10,SMARCA4
33273|ASCL1,1.982852643948961e-09,ASCL1
34917|KDM2B,2.4310846532636085e-09,KDM2B
5980|HOXC9,9.589074042862378e-09,HOXC9
34005|LHX3,4.145106418746211e-08,LHX3
8831|PHF19,7.855977116048843e-08,PHF19
53132|ZFP57,1.081757930101961e-07,ZFP57
39687|UTF1,1.9592237805567528e-07,UTF1
59428|HEY1,2.8987412771407744e-07,HEY1
44|NPAS4,3.3542008272131124e-07,NPAS4
50164|CHRM2,8.162048288333193e-07,CHRM2
34006|ISL1,5.215813212649603e-06,ISL1
52523|TFAP2C,6.8304150409481875e-06,TFAP2C
65038|CTCF,1.159884493681778e-05,CTCF
32775|BMI1,2.1909091403145503e-05,BMI1
34320|REST,4.1265323422895086e-05,REST
54112|SOX9,4.864334888091962e-05,SOX9
49582|FOSB,7.752593981168715e-05,FOSB
5412|NOTCH1,8.986207102539214e-05,NOTCH1
52796|RXRA,0.00013753416343084487,RXRA
55962|STAG1,0.0001691557388185931,STAG1
39791|T,0.00023789563821301985,T
52892|CREBBP,0.0003082582978422932,CREBBP
8329|SOX3,0.000318684884974656,SOX3
3002|ATOH1,0.0004011687660673329,ATOH1
59139|OLIG2,0.0004888460214899201,OLIG2
49561|FOS,0.0006641618465999358,FOS
55534|RAG1,0.001260382817249249,RAG1
49572|JUNB,0.001354841542687587,JUNB
40161|SOX2,0.0014320371372306899,SOX2
53170|DPPA2,0.0017097486282670535,DPPA2
2999|ARNTL,0.0023940288402499155,ARNTL
