,0
4603|SUZ12,1.033261992046873e-38
48946|SUZ12,1.2958173711439426e-37
8828|SUZ12,7.519626793758571e-35
2161|EZH2,8.000715745247343e-35
48947|SUZ12,1.3149170288051259e-33
41904|SUZ12,1.5009161121351727e-31
41871|EZH2,1.8645612519485943e-31
48941|SUZ12,1.9359500442668476e-31
48949|SUZ12,4.780336951707203e-29
39696|SUZ12,9.309547822532043e-29
48942|SUZ12,9.396189713128695e-29
48943|SUZ12,1.0296319069872458e-27
41903|SUZ12,1.5670220923858158e-27
38481|RNF2,1.1720728279101436e-26
48948|SUZ12,3.5974503487286997e-26
38482|SUZ12,3.759391599384004e-26
36823|SUZ12,3.759391599384004e-26
41872|EZH2,8.032478091286104e-26
58799|SUZ12,6.0974756775091076e-24
38475|CBX7,2.136407835176751e-22
56642|RNF2,4.485123496769572e-22
4405|MTF2,5.99747039320502e-21
57890|SUZ12,1.0493565035170035e-20
39689|SUZ12,4.2544714522555277e-19
8829|SUZ12,9.538314263771397e-19
39698|SUZ12,1.0252838929207468e-18
48950|SUZ12,1.4063585055003443e-18
41898|EZH2,1.796033260716876e-18
48945|SUZ12,2.023723511820909e-17
2903|SUZ12,7.135868382131413e-17
58796|SUZ12,8.058714921570162e-17
57889|SUZ12,1.7378421302829563e-16
35602|5HMC,2.6324818881398946e-15
51021|JARID2,2.6889456820459593e-15
9033|TET1,7.820670354133823e-15
2167|SUZ12,4.187639326959788e-14
48951|SUZ12,5.4299288036786845e-14
48944|SUZ12,9.435301462654086e-14
52908|MEF2A,1.6929040030509652e-13
36202|SUZ12,2.4825469506872367e-13
4602|SUZ12,2.560579236562747e-13
52906|MEF2C,9.534798048389726e-13
55425|NEUROD2,1.042755020389175e-12
58789|nan,1.2130548195047443e-12
35601|5HMC,3.5148077941434494e-12
52907|MEF2A,5.629094246836352e-12
34713|RNF2,6.292911013478175e-12
2165|JARID2,6.2930257085680485e-12
52905|MEF2C,2.3744929177450044e-11
34022|RNF2,2.7459774223801812e-11
47765|RNF2,4.698163518476154e-11
39682|SUZ12,9.578459442566703e-11
34922|RNF2,1.4659244477097723e-10
9217|ESR1,1.893422325045173e-10
44862|SMARCA4,2.0968761809949606e-10
41897|EZH2,2.5830523570447853e-10
37946|NEUROD2,5.865617104160199e-10
36072|SUZ12,7.705134568732696e-10
33273|ASCL1,1.982852643948961e-09
34917|KDM2B,2.4310846532636085e-09
36071|SUZ12,5.7852364321678665e-09
55426|NEUROD2,6.665746479019726e-09
5980|HOXC9,9.589074042862378e-09
44860|SMARCA4,2.0193424280292212e-08
34005|LHX3,4.145106418746211e-08
48366|SUZ12,4.884289494565757e-08
51020|JARID2,6.742564263938256e-08
8831|PHF19,7.855977116048843e-08
36201|SUZ12,7.888521585442445e-08
53132|ZFP57,1.081757930101961e-07
39687|UTF1,1.9592237805567528e-07
34018|RNF2,2.345092812483274e-07
59428|HEY1,2.8987412771407744e-07
48362|RNF2,2.9569600817664e-07
4404|JARID2,3.011596520083424e-07
44|NPAS4,3.3542008272131124e-07
34266|ESR1,6.289186878708482e-07
50164|CHRM2,8.162048288333193e-07
34024|RNF2,8.215743454786002e-07
