,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
8828|SUZ12,9.834636513733739e-13,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
57889|SUZ12,1.8773568115523223e-10,Mus musculus,SUZ12,cr,,Thymocyte,Thymus,1.0
48946|SUZ12,9.500022095788312e-10,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
34640|CLOCK,1.4178936468928142e-09,Mus musculus,CLOCK,tf,,,Liver,0.0
41603|AR,4.025662074703221e-09,Mus musculus,AR,tf,,,Caput Epididymis,1.0
36823|SUZ12,4.271089471566745e-09,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
38482|SUZ12,4.271089471566745e-09,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
57890|SUZ12,4.48260852622981e-09,Mus musculus,SUZ12,cr,,Thymocyte,Thymus,1.0
48942|SUZ12,4.618896137641713e-09,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
36071|SUZ12,5.4271248544621676e-09,Mus musculus,SUZ12,cr,,Neural Progenitor Cell,,1.0
41580|AR,5.43450598621426e-09,Mus musculus,AR,tf,,Epithelium,Prostate,1.0
41872|EZH2,8.77030893781249e-09,Mus musculus,EZH2,cr,E14,Embryonic Stem Cell,Embryo,1.0
36201|SUZ12,1.2045331511916274e-08,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
4603|SUZ12,1.2092558884889994e-08,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
48951|SUZ12,1.3928724578148132e-08,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
41581|AR,1.6478886730060693e-08,Mus musculus,AR,tf,,Epithelium,Prostate,1.0
39696|SUZ12,2.0374111696761573e-08,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
41904|SUZ12,2.6049746366447735e-08,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
38215|ARNTL,2.8230893941784867e-08,Mus musculus,ARNTL,predicted transcription factor,,Epithelium,Liver,0.0
36072|SUZ12,4.2871792527243594e-08,Mus musculus,SUZ12,cr,,Neural Progenitor Cell,,1.0
48941|SUZ12,5.2614104863261355e-08,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
56642|RNF2,5.382854202366371e-08,Mus musculus,RNF2,predicted transcription factor,E14Tg2A,Embryonic Stem Cell,,1.0
38481|RNF2,1.810585104355576e-07,Mus musculus,RNF2,predicted transcription factor,E14,Embryonic Stem Cell,Embryo,1.0
2161|EZH2,3.0718166260871596e-07,Mus musculus,EZH2,cr,LF2,Embryonic Stem Cell,Embryo,1.0
57231|EZH2,4.2573543454539806e-07,Mus musculus,EZH2,cr,,Th2,Spleen,0.0
48947|SUZ12,5.306855395692641e-07,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
4398|MECP2,6.232892471882966e-07,Mus musculus,MECP2,cr,,,Cerebellum,1.0
58796|SUZ12,7.260170475623515e-07,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
41871|EZH2,7.850424452017874e-07,Mus musculus,EZH2,cr,E14,Embryonic Stem Cell,Embryo,1.0
8976|ZFP42,1.2051647326195981e-06,Mus musculus,ZFP42,tf,,Embryonic Stem Cell,Embryo,0.0
9033|TET1,1.3425674663503093e-06,Mus musculus,TET1,cr,P19.6,,Embryo,1.0
48949|SUZ12,1.5301469539636356e-06,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
9024|NR3C1,1.648642312555669e-06,Mus musculus,NR3C1,tf,AtT-20,Corticotroph,Brain,1.0
41903|SUZ12,1.981051893959414e-06,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
9025|NR3C1,2.265309323277931e-06,Mus musculus,NR3C1,tf,AtT-20,Corticotroph,Brain,1.0
39376|AR,2.3585939767053823e-06,Mus musculus,AR,tf,,Epithelium,Prostate,1.0
4405|MTF2,2.425232028650614e-06,Mus musculus,MTF2,cr,,Embryonic Stem Cell,Embryo,1.0
53554|RNF2,2.4296577483505474e-06,Mus musculus,RNF2,predicted transcription factor,E14,Embryonic Stem Cell,Embryo,1.0
38475|CBX7,3.037998505885845e-06,Mus musculus,CBX7,cr,E14,Embryonic Stem Cell,Embryo,1.0
51021|JARID2,3.0798050526957633e-06,Mus musculus,JARID2,cr,E14,Embryonic Stem Cell,Embryo,1.0
2165|JARID2,3.3992586113210828e-06,Mus musculus,JARID2,cr,LF2,Embryonic Stem Cell,Embryo,1.0
2167|SUZ12,3.835790720282838e-06,Mus musculus,SUZ12,cr,LF2,Embryonic Stem Cell,Embryo,1.0
39698|SUZ12,4.597570781160633e-06,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
37400|PR,5.572190198022527e-06,Mus musculus,PR,predicted transcription factor,,,Uterus,1.0
54368|NR3C1,7.85798271346854e-06,Mus musculus,NR3C1,tf,,Embryonic Fibroblast,,1.0
35601|5HMC,9.568797388329474e-06,Mus musculus,5HMC,other,E14,Embryonic Stem Cell,Embryo,1.0
2903|SUZ12,1.0917068223191257e-05,Mus musculus,SUZ12,cr,V6.5,Embryonic Stem Cell,Embryo,1.0
48948|SUZ12,1.2445895182675818e-05,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
39391|AR,1.293593442440397e-05,Mus musculus,AR,tf,,Epithelium,Prostate,1.0
35602|5HMC,1.368333833347352e-05,Mus musculus,5HMC,other,E14,Embryonic Stem Cell,Embryo,1.0
54369|NR3C1,1.3834111233612392e-05,Mus musculus,NR3C1,tf,,Embryonic Fibroblast,,1.0
48323|ATF3,1.418186193142099e-05,Mus musculus,ATF3,predicted transcription factor,,Macrophage,Bone Marrow,0.0
37810|ARNTL,1.554376881295866e-05,Mus musculus,ARNTL,predicted transcription factor,,Epithelium,Liver,1.0
32806|nan,1.5834470476414135e-05,,,,,,,
57234|EZH2,2.101117352864057e-05,Mus musculus,EZH2,cr,,Th2,Spleen,0.0
41583|AR,2.1212750428170125e-05,Mus musculus,AR,tf,,Epithelium,Prostate,0.0
4602|SUZ12,2.2362271894735412e-05,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
37824|ARNTL,2.6022388075153368e-05,Mus musculus,ARNTL,predicted transcription factor,,Epithelium,Liver,1.0
37843|ARNTL,2.6354794443130962e-05,Mus musculus,ARNTL,predicted transcription factor,,Epithelium,Liver,1.0
37802|ARNTL,2.6354794443130962e-05,Mus musculus,ARNTL,predicted transcription factor,,Epithelium,Liver,1.0
73|MECP2,2.6354794443130962e-05,Mus musculus,MECP2,cr,,Cortical Neuron,Brain,1.0
35313|TNNI2,3.685703170628008e-05,Mus musculus,TNNI2,other,,Osteoblast,,1.0
8829|SUZ12,3.9714400012426455e-05,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
41604|AR,5.10408249794587e-05,Mus musculus,AR,tf,,,Caput Epididymis,1.0
36202|SUZ12,0.00010088996799555969,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
36734|NR3C1,0.00010333700737219802,Mus musculus,NR3C1,tf,7438,Epithelium,Mammary Gland,1.0
151|NR3C1,0.0001161091693271689,Mus musculus,NR3C1,tf,3T3-L1,Preadipocyte,Adipose,1.0
38211|ARNTL,0.00011759967458453473,Mus musculus,ARNTL,predicted transcription factor,,Epithelium,Liver,0.0
77|MECP2,0.00011978983355389914,Mus musculus,MECP2,cr,,Cortical Neuron,Brain,1.0
36751|NR3C1,0.00012229009235782193,Mus musculus,NR3C1,tf,7438,Epithelium,Mammary Gland,1.0
36760|NR3C1,0.0001423643372784527,Mus musculus,NR3C1,tf,7438,Epithelium,Mammary Gland,1.0
9080|EZH2,0.0001476651809295433,Mus musculus,EZH2,cr,TNGA,Embryonic Stem Cell,Embryo,1.0
48326|ATF3,0.00015983615804162325,Mus musculus,ATF3,predicted transcription factor,,Macrophage,Bone Marrow,1.0
50967|SUZ12,0.00016637622914287794,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,,1.0
44274|SREBF1,0.00017107146854566433,Mus musculus,SREBF1,tf,,Epithelium,Liver,1.0
36746|NR3C1,0.00017433168173247492,Mus musculus,NR3C1,tf,7438,Epithelium,Mammary Gland,1.0
50968|SUZ12,0.00017666378871080457,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,,1.0
37946|NEUROD2,0.0001812182707385658,Mus musculus,NEUROD2,tf,P19,,Embryo,1.0
52873|TRIM33,0.00019246306233848168,Mus musculus,TRIM33,predicted chromatin regulator,LNCaP-abl ,Epithelium,Prostate,1.0
35259|MECP2,0.00021957714366344167,Mus musculus,MECP2,cr,,Neuron,Embryo,0.0
37796|ARNTL,0.00026076269219016466,Mus musculus,ARNTL,predicted transcription factor,,Epithelium,Liver,1.0
3261|FOXA2,0.0002624897996756904,Mus musculus,FOXA2,tf,,Hepatocyte,Liver,0.0
47765|RNF2,0.0002730028667663506,Mus musculus,RNF2,predicted transcription factor,MS12,Embryonic Stem Cell,Embryo,1.0
37792|NPAS2,0.0002873574100081221,Mus musculus,NPAS2,tf,,Epithelium,Liver,0.0
34622|ARNTL,0.00029003238986488735,Mus musculus,ARNTL,predicted transcription factor,,,Liver,0.0
52892|CREBBP,0.00029877544355467957,Mus musculus,CREBBP,cr,,Cortical Neuron,,1.0
50683|RFX6,0.0003086493677225258,Mus musculus,RFX6,tf,MIN6B1,Beta cell,Pancreas,1.0
55979|SMC1A,0.0003428461696417368,Mus musculus,SMC1A,predicted chromatin regulator,,,Brain,1.0
41898|EZH2,0.0003479244922992403,Mus musculus,EZH2,cr,E14,Embryonic Stem Cell,Embryo,1.0
58799|SUZ12,0.00038526789685360235,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
150|NR3C1,0.0004046948591044814,Mus musculus,NR3C1,tf,3T3-L1,Preadipocyte,Adipose,1.0
54372|KLF15,0.0004211399639938754,Mus musculus,KLF15,tf,,Embryonic Fibroblast,,1.0
32786|BMI1,0.0004410306895634851,Mus musculus,BMI1,cr,,Glioma Initiating Cell,,1.0
34917|KDM2B,0.0004521738411500392,Mus musculus,KDM2B,cr,E14,Embryonic Stem Cell,Embryo,1.0
44862|SMARCA4,0.0004584477374903662,Mus musculus,SMARCA4,cr,,Epithelium,Neural Tube,1.0
34117|ESR1,0.00047579275669711035,Mus musculus,ESR1,tf,7438,Epithelium,Mammary Gland,1.0
32842|REST,0.0004779196790723302,Mus musculus,REST,tf,,Neural Progenitor Cell,,1.0
44789|JUN,0.0004787114615026972,Mus musculus,JUN,tf,3T3-L1,Preadipocyte,Adipose,1.0
34320|REST,0.0004989321763754102,Mus musculus,REST,tf,,Neural Progenitor Cell,,1.0
34713|RNF2,0.0005052252950701549,Mus musculus,RNF2,predicted transcription factor,E14,Embryonic Stem Cell,Embryo,1.0
44797|RXRA,0.0005114238391046932,Mus musculus,RXRA,tf,3T3-L1,Preadipocyte,Adipose,1.0
48943|SUZ12,0.0005128364347191577,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
48950|SUZ12,0.0005195886626145282,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
51962|ASCL1,0.0005314860350211863,Mus musculus,ASCL1,tf,AtT-20,,,0.0
48945|SUZ12,0.0005686493993562504,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
43897|5HMC,0.0005868612928821958,Mus musculus,5HMC,other,E14,Embryonic Stem Cell,Embryo,1.0
5980|HOXC9,0.0005922310441492083,Mus musculus,HOXC9,tf,Ainv15,Neural Progenitor Cell,Embryo,1.0
54219|EBF1,0.0005994491087872991,Mus musculus,EBF1,tf,,Pre-B Lymphocyte,,1.0
36748|NR3C1,0.0006130752298919327,Mus musculus,NR3C1,tf,7438,Epithelium,Mammary Gland,1.0
53159|DNMT3A,0.0006146910496479392,Mus musculus,DNMT3A,cr,J1,Embryonic Stem Cell,Embryo,1.0
55159|NEUROD2,0.0007261450432007509,Mus musculus,NEUROD2,tf,P19,Embryonic Stem Cell,Embryo,1.0
44791|JUNB,0.0007761511667726003,Mus musculus,JUNB,tf,3T3-L1,Preadipocyte,Adipose,1.0
49572|JUNB,0.0007822715525935707,Mus musculus,JUNB,tf,,Cortical Neuron,Neuric,1.0
36735|ESR1,0.0007938173873447302,Mus musculus,ESR1,tf,7438,Epithelium,Mammary Gland,1.0
9283|DMC1,0.00079682360496294,Mus musculus,DMC1,not sure,,,Testis,1.0
53084|NKX3-2,0.0008287135081302196,Mus musculus,NKX3-2,tf,NIH-3T3,Fibroblast,Embryo,1.0
52277|NR3C1,0.0008751276220930187,Mus musculus,NR3C1,tf,,,Liver,1.0
44806|MED1,0.0009253951507508589,Mus musculus,MED1,predicted transcription factor,3T3-L1,Preadipocyte,Adipose,1.0
38214|ARNTL,0.001140931258057479,Mus musculus,ARNTL,predicted transcription factor,,Epithelium,Liver,0.0
48662|nan,0.0011576030498105106,,,,,,,
32928|SMC5,0.0011619153065838322,Mus musculus,SMC5,predicted chromatin regulator,,B Lymphocyte,Spleen,1.0
25|CREBBP,0.0011620164958998389,Mus musculus,CREBBP,cr,,Cortical Neuron,Neuric,0.0
47764|RNF2,0.001178586280278327,Mus musculus,RNF2,predicted transcription factor,MS12,Embryonic Stem Cell,Embryo,1.0
54705|BRWD1,0.0011869988545678016,Mus musculus,BRWD1,cr,,B Lymphocyte,,0.0
56269|MYC,0.0012124815714675181,Mus musculus,MYC,tf,,,Prostate,1.0
36824|PITX1,0.0012546721059821617,Mus musculus,PITX1,tf,,Epithelium,Embryonic Hindlimb Bud,1.0
42025|CEBPA,0.0012726376301521788,Mus musculus,CEBPA,tf,,Preadipocyte,Adipose,1.0
37581|NR3C1,0.0012843768968593394,Mus musculus,NR3C1,tf,,Epithelium,Liver,1.0
43659|UTF1,0.0012937414945876143,Mus musculus,UTF1,tf,KH2,Embryonic Stem Cell,Embryo,1.0
44808|SMARCA4,0.0013865627422812148,Mus musculus,SMARCA4,cr,3T3-L1,Preadipocyte,Adipose,1.0
53908|SMC1A,0.0014511733109652785,Mus musculus,SMC1A,predicted chromatin regulator,,Fibroblast,,1.0
91|TET1,0.0014676100354814735,Mus musculus,TET1,cr,,Embryonic Stem Cell,Embryo,1.0
52284|NR3C1,0.0016050604408792083,Mus musculus,NR3C1,tf,,,Liver,1.0
52902|MED1,0.001617658044871068,Mus musculus,MED1,predicted transcription factor,,Cortical Neuron,,1.0
36206|MBD4,0.0016778337200752016,Mus musculus,MBD4,cr,,Embryonic Stem Cell,Embryo,0.0
40277|PTF1A,0.001703239709984647,Mus musculus,PTF1A,tf,,,Pancreas,0.0
35792|FOXP3,0.0017374919343947773,Mus musculus,FOXP3,tf,,T Lymphocyte,Blood,0.0
53111|TCF12,0.0017635341596002822,Mus musculus,TCF12,tf,,Embryonic Stem Cell,Embryo,1.0
50081|Input,0.001780008135275205,Mus musculus,Input,other,J1,Embryonic Stem Cell,Embryo,1.0
36073|SUZ12,0.0017980358178967533,Mus musculus,SUZ12,cr,,Neural Progenitor Cell,,1.0
54224|SMC1A,0.00180557179652605,Mus musculus,SMC1A,predicted chromatin regulator,,Fibroblast,,1.0
36756|NR3C1,0.0018119791495125918,Mus musculus,NR3C1,tf,7438,Epithelium,Mammary Gland,1.0
53113|TCF12,0.0018693831121192087,Mus musculus,TCF12,tf,,Embryonic Stem Cell,Embryo,1.0
40274|PTF1A,0.0019015566897691032,Mus musculus,PTF1A,tf,,,Pancreas,1.0
51117|DNMT3A,0.0019448194554670208,Mus musculus,DNMT3A,cr,,Embryonic Stem Cell,,1.0
48869|HNF4A,0.001966602223959755,Mus musculus,HNF4A,tf,,Epithelium,Liver,1.0
39131|nan,0.0020218128991148013,,,,,,,
34005|LHX3,0.00208846542139678,Mus musculus,LHX3,tf,Ainv15,Neural Progenitor Cell,Embryo,1.0
55978|SMC1A,0.002145998430276327,Mus musculus,SMC1A,predicted chromatin regulator,R1,Embryonic Stem Cell,Embryo,1.0
457|TET1,0.0021744591971606477,Mus musculus,TET1,cr,E14,Embryonic Stem Cell,Embryo,1.0
56272|MYC,0.002227816912975673,Mus musculus,MYC,tf,,,Prostate,0.0
8348|MEIS1,0.0022509255817778095,Mus musculus,MEIS1,tf,,Myeloid Cell,Bone Marrow,0.0
47766|RNF2,0.0022986479762173613,Mus musculus,RNF2,predicted transcription factor,MS12,Embryonic Stem Cell,Embryo,1.0
52907|MEF2A,0.002383901773390315,Mus musculus,MEF2A,tf,,Cortical Neuron,,1.0
42030|PPARG,0.0025075479218999103,Mus musculus,PPARG,tf,,Preadipocyte,Adipose,1.0
52819|SIRT6,0.0025349421901627775,Mus musculus,SIRT6,cr,,Embryonic Stem Cell,Embryo,1.0
33065|IRF4,0.0025349421901627775,Mus musculus,IRF4,predicted transcription factor,,B Lymphocyte,,0.0
52903|MED23,0.0025349421901627775,Mus musculus,MED23,predicted transcription factor,,Cortical Neuron,,0.0
33083|IRF4,0.0025349421901627775,Mus musculus,IRF4,predicted transcription factor,,B Lymphocyte,,0.0
5846|STAT5B,0.0025467807528109683,Mus musculus,STAT5B,tf,,Hepatocyte,Liver,1.0
50583|IRF7,0.0025505508542950192,Mus musculus,IRF7,tf,,Myeloid Cell,Bone Marrow,0.0
56140|SUZ12,0.00255393519397449,Mus musculus,SUZ12,cr,,Embryonic Fibroblast,,1.0
57196|BMI1,0.0025878897019284506,Mus musculus,BMI1,cr,,T Lymphocyte,,1.0
5412|NOTCH1,0.0026106541013181488,Mus musculus,NOTCH1,both predicted transcription factor and chromatin regulator,,T Lymphocyte,Lymph Node,1.0
8330|SOX3,0.002649632553790106,Mus musculus,SOX3,predicted transcription factor,,Neural Progenitor Cell,Embryo,0.0
9078|SUZ12,0.0026729095862980325,Mus musculus,SUZ12,cr,TNGA,Embryonic Stem Cell,Embryo,1.0
48322|ATF3,0.0027154177308734073,Mus musculus,ATF3,predicted transcription factor,,Macrophage,Bone Marrow,1.0
49567|JUNB,0.0027244276124092684,Mus musculus,JUNB,tf,,Cortical Neuron,Neuric,1.0
168|PPARG,0.002763601727833356,Mus musculus,PPARG,tf,3T3-L1,Preadipocyte,Adipose,1.0
36755|ESR1,0.002835175223894255,Mus musculus,ESR1,tf,7438,Epithelium,Mammary Gland,1.0
52908|MEF2A,0.003037327510039982,Mus musculus,MEF2A,tf,,Cortical Neuron,,1.0
44860|SMARCA4,0.0031170741720280394,Mus musculus,SMARCA4,cr,,Epithelium,Limb,1.0
58847|SUZ12,0.003122367216797888,Mus musculus,SUZ12,cr,ILC87,T Lymphocyte,,1.0
39791|T,0.0031568439927379664,Mus musculus,T,tf,,,Testis,1.0
41965|RUNX3,0.00315808484109342,Mus musculus,RUNX3,tf,,Natural Killer Cell,Spleen,1.0
34022|RNF2,0.0031879584394035546,Mus musculus,RNF2,predicted transcription factor,,Embryonic Stem Cell,Embryo,1.0
105|CEBPA,0.0033126132648167712,Mus musculus,CEBPA,tf,3T3-L1,Preadipocyte,Adipose,1.0
42629|AR,0.0033754417717979397,Mus musculus,AR,tf,,,Caput Epididymis,1.0
32793|SMC1A,0.003434351567766883,Mus musculus,SMC1A,predicted chromatin regulator,,Epithelium,Limb Bud,1.0
41858|POU3F2,0.00344905530882984,Mus musculus,POU3F2,tf,,Neural Progenitor Cell,,1.0
34018|RNF2,0.003490885496560935,Mus musculus,RNF2,predicted transcription factor,,Embryonic Stem Cell,Embryo,1.0
434|TET1,0.003523810346777203,Mus musculus,TET1,cr,E14,Embryonic Stem Cell,Embryo,1.0
41977|EHMT2,0.0035295973816646597,Mus musculus,EHMT2,cr,,Embryonic Stem Cell,Embryo,1.0
41593|AR,0.003537453774601593,Mus musculus,AR,tf,,Epithelium,Kidney,1.0
3260|FOXA2,0.003650246666130515,Mus musculus,FOXA2,tf,,Hepatocyte,Liver,0.0
39693|SUZ12,0.003666650703269324,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
2993|ARNTL,0.003674878444151372,Mus musculus,ARNTL,predicted transcription factor,,Hepatocyte,Liver,1.0
74|MECP2,0.0036913821561809397,Mus musculus,MECP2,cr,,Cortical Neuron,Brain,1.0
5062|BRD4,0.0037162629316055923,Mus musculus,BRD4,cr,,Macrophage,Bone Marrow,1.0
5065|BRD4,0.00372459002863824,Mus musculus,BRD4,cr,,Macrophage,Bone Marrow,1.0
52972|MECP2,0.0037413539666002415,Mus musculus,MECP2,cr,,Cortex,Frontal,1.0
8349|HOXA9,0.0037420506627468294,Mus musculus,HOXA9,tf,,Myeloid Cell,Bone Marrow,1.0
44006|H2AZ,0.0037430532873385745,Mus musculus,H2AZ,predicted chromatin regulator,V6.5,Embryonic Stem Cell,Embryo,1.0
36738|NR3C1,0.0037679985193794794,Mus musculus,NR3C1,tf,7438,Epithelium,Mammary Gland,1.0
173|RXRG,0.0038063356979699146,Mus musculus,RXRG,tf,3T3-L1,Preadipocyte,Adipose,1.0
40204|RAD21,0.003987918771512895,Mus musculus,RAD21,not sure,,,Brain,1.0
55425|NEUROD2,0.004063640518005217,Mus musculus,NEUROD2,tf,,Embryonic Cortex,Brain,1.0
41594|AR,0.004122796388939211,Mus musculus,AR,tf,,Epithelium,Kidney,1.0
48367|SUZ12,0.004152788974652499,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
56271|MYC,0.004201282885445734,Mus musculus,MYC,tf,,,Prostate,1.0
432|SUZ12,0.0042606944982465636,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
36996|CHD4,0.004323091419691847,Mus musculus,CHD4,cr,,iPSC,,1.0
53555|RNF2,0.004377993200889726,Mus musculus,RNF2,predicted transcription factor,,Neural Progenitor Cell,,1.0
37808|ARNTL,0.004686386762280148,Mus musculus,ARNTL,predicted transcription factor,,Epithelium,Liver,1.0
39374|ERG,0.00486444863644779,Mus musculus,ERG,other,,Epithelium,Prostate,0.0
