,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
8828|SUZ12,9.834636513733739e-13,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0,SUZ12
34640|CLOCK,1.4178936468928144e-09,Mus musculus,CLOCK,tf,,,Liver,0.0,CLOCK
41603|AR,4.025662074703221e-09,Mus musculus,AR,tf,,,Caput Epididymis,1.0,AR
41872|EZH2,8.770308937812491e-09,Mus musculus,EZH2,cr,E14,Embryonic Stem Cell,Embryo,1.0,EZH2
38215|ARNTL,2.823089394178487e-08,Mus musculus,ARNTL,predicted transcription factor,,Epithelium,Liver,0.0,ARNTL
56642|RNF2,5.382854202366371e-08,Mus musculus,RNF2,predicted transcription factor,E14Tg2A,Embryonic Stem Cell,,1.0,RNF2
4398|MECP2,6.232892471882966e-07,Mus musculus,MECP2,cr,,,Cerebellum,1.0,MECP2
8976|ZFP42,1.205164732619598e-06,Mus musculus,ZFP42,tf,,Embryonic Stem Cell,Embryo,0.0,ZFP42
9033|TET1,1.3425674663503091e-06,Mus musculus,TET1,cr,P19.6,,Embryo,1.0,TET1
9024|NR3C1,1.648642312555669e-06,Mus musculus,NR3C1,tf,AtT-20,Corticotroph,Brain,1.0,NR3C1
4405|MTF2,2.4252320286506143e-06,Mus musculus,MTF2,cr,,Embryonic Stem Cell,Embryo,1.0,MTF2
38475|CBX7,3.037998505885845e-06,Mus musculus,CBX7,cr,E14,Embryonic Stem Cell,Embryo,1.0,CBX7
51021|JARID2,3.0798050526957637e-06,Mus musculus,JARID2,cr,E14,Embryonic Stem Cell,Embryo,1.0,JARID2
37400|PR,5.572190198022527e-06,Mus musculus,PR,predicted transcription factor,,,Uterus,1.0,PR
35601|5HMC,9.568797388329474e-06,Mus musculus,5HMC,other,E14,Embryonic Stem Cell,Embryo,1.0,5HMC
48323|ATF3,1.418186193142099e-05,Mus musculus,ATF3,predicted transcription factor,,Macrophage,Bone Marrow,0.0,ATF3
32806|nan,1.5834470476414135e-05,,,,,,,,nan
35313|TNNI2,3.685703170628008e-05,Mus musculus,TNNI2,other,,Osteoblast,,1.0,TNNI2
44274|SREBF1,0.00017107146854566433,Mus musculus,SREBF1,tf,,Epithelium,Liver,1.0,SREBF1
37946|NEUROD2,0.00018121827073856582,Mus musculus,NEUROD2,tf,P19,,Embryo,1.0,NEUROD2
52873|TRIM33,0.00019246306233848168,Mus musculus,TRIM33,predicted chromatin regulator,LNCaP-abl ,Epithelium,Prostate,1.0,TRIM33
3261|FOXA2,0.00026248979967569044,Mus musculus,FOXA2,tf,,Hepatocyte,Liver,0.0,FOXA2
37792|NPAS2,0.0002873574100081221,Mus musculus,NPAS2,tf,,Epithelium,Liver,0.0,NPAS2
52892|CREBBP,0.00029877544355467957,Mus musculus,CREBBP,cr,,Cortical Neuron,,1.0,CREBBP
50683|RFX6,0.00030864936772252586,Mus musculus,RFX6,tf,MIN6B1,Beta cell,Pancreas,1.0,RFX6
