,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
8828|SUZ12,9.480447070452059e-14,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
36823|SUZ12,3.3891169589871254e-12,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
38482|SUZ12,3.3891169589871254e-12,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
41872|EZH2,1.2671598294440123e-11,Mus musculus,EZH2,cr,E14,Embryonic Stem Cell,Embryo,1.0
57889|SUZ12,8.358211484626854e-11,Mus musculus,SUZ12,cr,,Thymocyte,Thymus,1.0
43419|KMT2B,1.1329927350737405e-10,Mus musculus,KMT2B,cr,E14,Embryonic Stem Cell,Embryo,1.0
35897|H2AZ,1.4352664043430758e-10,Mus musculus,H2AZ,predicted chromatin regulator,,B Lymphocyte,,1.0
41871|EZH2,4.4787333344640953e-10,Mus musculus,EZH2,cr,E14,Embryonic Stem Cell,Embryo,1.0
56642|RNF2,7.585285131154809e-10,Mus musculus,RNF2,predicted transcription factor,E14Tg2A,Embryonic Stem Cell,,1.0
2161|EZH2,1.2451911769655537e-09,Mus musculus,EZH2,cr,LF2,Embryonic Stem Cell,Embryo,1.0
58293|NRF1,1.87654106093537e-09,Mus musculus,NRF1,tf,,Embryonic Stem Cell,Embryo,1.0
41904|SUZ12,2.165409684865421e-09,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
48942|SUZ12,2.471652493629574e-09,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
38481|RNF2,2.6435995099380933e-09,Mus musculus,RNF2,predicted transcription factor,E14,Embryonic Stem Cell,Embryo,1.0
50164|CHRM2,3.869626632935019e-09,Mus musculus,CHRM2,predicted chromatin regulator,,,Limb Bud,1.0
53132|ZFP57,4.546852653413928e-09,Mus musculus,ZFP57,tf,,Embryonic Stem Cell,,1.0
4405|MTF2,4.882495551126779e-09,Mus musculus,MTF2,cr,,Embryonic Stem Cell,Embryo,1.0
4603|SUZ12,4.914857114562064e-09,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
36072|SUZ12,5.144686720987385e-09,Mus musculus,SUZ12,cr,,Neural Progenitor Cell,,1.0
2167|SUZ12,5.197160828502804e-09,Mus musculus,SUZ12,cr,LF2,Embryonic Stem Cell,Embryo,1.0
43659|UTF1,5.733912523886492e-09,Mus musculus,UTF1,tf,KH2,Embryonic Stem Cell,Embryo,1.0
48949|SUZ12,5.922523211220906e-09,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
8907|TBX3,6.886570404186433e-09,Mus musculus,TBX3,tf,,Myocyte,Heart,1.0
53113|TCF12,7.012452043797358e-09,Mus musculus,TCF12,tf,,Embryonic Stem Cell,Embryo,1.0
48941|SUZ12,1.3291807602378593e-08,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
8829|SUZ12,1.40816229487334e-08,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
52674|C17orf96,1.5987505993969703e-08,Mus musculus,C17orf96,not sure,E14,Embryonic Stem Cell,Embryo,1.0
36071|SUZ12,1.695706099293644e-08,Mus musculus,SUZ12,cr,,Neural Progenitor Cell,,1.0
40271|FOXA2,1.7386177557968188e-08,Mus musculus,FOXA2,tf,,,Pancreas,1.0
48951|SUZ12,2.0319217231518316e-08,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
48950|SUZ12,2.046834112105088e-08,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
48946|SUZ12,2.068897738378154e-08,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
