,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
38481|RNF2,1.1644659975194123e-09,Mus musculus,RNF2,predicted transcription factor,E14,Embryonic Stem Cell,Embryo,1.0
41872|EZH2,1.6824446750969963e-09,Mus musculus,EZH2,cr,E14,Embryonic Stem Cell,Embryo,1.0
8828|SUZ12,1.7036987938424781e-09,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
57889|SUZ12,2.004953864795897e-09,Mus musculus,SUZ12,cr,,Thymocyte,Thymus,1.0
35897|H2AZ,3.826317988588876e-09,Mus musculus,H2AZ,predicted chromatin regulator,,B Lymphocyte,,1.0
41871|EZH2,1.129997055762727e-08,Mus musculus,EZH2,cr,E14,Embryonic Stem Cell,Embryo,1.0
57890|SUZ12,1.9656298950509384e-08,Mus musculus,SUZ12,cr,,Thymocyte,Thymus,1.0
48329|SPI1,2.499320147470086e-08,Mus musculus,SPI1,predicted transcription factor,,Embryonic Stem Cell,Embryo,1.0
41897|EZH2,2.632187685133549e-08,Mus musculus,EZH2,cr,E14,Embryonic Stem Cell,Embryo,1.0
58293|NRF1,2.962709029907975e-08,Mus musculus,NRF1,tf,,Embryonic Stem Cell,Embryo,1.0
2167|SUZ12,3.773792427543032e-08,Mus musculus,SUZ12,cr,LF2,Embryonic Stem Cell,Embryo,1.0
43419|KMT2B,5.8007558184160015e-08,Mus musculus,KMT2B,cr,E14,Embryonic Stem Cell,Embryo,1.0
52674|C17orf96,7.351097996743345e-08,Mus musculus,C17orf96,not sure,E14,Embryonic Stem Cell,Embryo,1.0
8907|TBX3,7.768221202418326e-08,Mus musculus,TBX3,tf,,Myocyte,Heart,1.0
39696|SUZ12,8.897059928504231e-08,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
53132|ZFP57,1.1191076333867128e-07,Mus musculus,ZFP57,tf,,Embryonic Stem Cell,,1.0
8829|SUZ12,1.1585101451029352e-07,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
50164|CHRM2,1.2385231601916462e-07,Mus musculus,CHRM2,predicted chromatin regulator,,,Limb Bud,1.0
48327|SPI1,1.3379103289040007e-07,Mus musculus,SPI1,predicted transcription factor,,Embryonic Stem Cell,Embryo,1.0
52523|TFAP2C,1.3872677103287786e-07,Mus musculus,TFAP2C,predicted transcription factor,,,Mammary Gland,1.0
37751|H2AZ,1.8447846143939736e-07,Mus musculus,H2AZ,predicted chromatin regulator,R1,Embryonic Stem Cell,Embryo,1.0
53113|TCF12,2.0225017788145362e-07,Mus musculus,TCF12,tf,,Embryonic Stem Cell,Embryo,1.0
2161|EZH2,2.0362696246286348e-07,Mus musculus,EZH2,cr,LF2,Embryonic Stem Cell,Embryo,1.0
36071|SUZ12,2.3177895402122346e-07,Mus musculus,SUZ12,cr,,Neural Progenitor Cell,,1.0
43659|UTF1,2.3780051095137938e-07,Mus musculus,UTF1,tf,KH2,Embryonic Stem Cell,Embryo,1.0
40271|FOXA2,2.5357875300843836e-07,Mus musculus,FOXA2,tf,,,Pancreas,1.0
34713|RNF2,3.224842282611988e-07,Mus musculus,RNF2,predicted transcription factor,E14,Embryonic Stem Cell,Embryo,1.0
48941|SUZ12,3.378919715207556e-07,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
48942|SUZ12,4.6393959433773233e-07,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
47291|FEZF2,5.37454001785736e-07,Mus musculus,FEZF2,tf,,Neurosphere,,1.0
4404|JARID2,5.828438886601792e-07,Mus musculus,JARID2,cr,,Embryonic Stem Cell,Embryo,1.0
34922|RNF2,5.97476934342663e-07,Mus musculus,RNF2,predicted transcription factor,E14,Embryonic Stem Cell,Embryo,1.0
34027|KDM2B,7.029381361070769e-07,Mus musculus,KDM2B,cr,,Embryonic Stem Cell,Embryo,1.0
53111|TCF12,7.438331314413371e-07,Mus musculus,TCF12,tf,,Embryonic Stem Cell,Embryo,1.0
36823|SUZ12,8.867614727724976e-07,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
38482|SUZ12,8.867614727724976e-07,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
44862|SMARCA4,9.090529755911821e-07,Mus musculus,SMARCA4,cr,,Epithelium,Neural Tube,1.0
53170|DPPA2,9.646886152824359e-07,Mus musculus,DPPA2,predicted chromatin regulator,CGR8,Embryonic Stem Cell,Embryo,1.0
2903|SUZ12,1.1092383371283231e-06,Mus musculus,SUZ12,cr,V6.5,Embryonic Stem Cell,Embryo,1.0
