,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
38481|RNF2,1.1644659975194125e-09,Mus musculus,RNF2,predicted transcription factor,E14,Embryonic Stem Cell,Embryo,1.0,RNF2
41872|EZH2,1.6824446750969965e-09,Mus musculus,EZH2,cr,E14,Embryonic Stem Cell,Embryo,1.0,EZH2
8828|SUZ12,1.7036987938424781e-09,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0,SUZ12
35897|H2AZ,3.826317988588877e-09,Mus musculus,H2AZ,predicted chromatin regulator,,B Lymphocyte,,1.0,H2AZ
48329|SPI1,2.499320147470086e-08,Mus musculus,SPI1,predicted transcription factor,,Embryonic Stem Cell,Embryo,1.0,SPI1
58293|NRF1,2.9627090299079753e-08,Mus musculus,NRF1,tf,,Embryonic Stem Cell,Embryo,1.0,NRF1
43419|KMT2B,5.800755818416002e-08,Mus musculus,KMT2B,cr,E14,Embryonic Stem Cell,Embryo,1.0,KMT2B
52674|C17orf96,7.351097996743346e-08,Mus musculus,C17orf96,not sure,E14,Embryonic Stem Cell,Embryo,1.0,C17orf96
8907|TBX3,7.768221202418326e-08,Mus musculus,TBX3,tf,,Myocyte,Heart,1.0,TBX3
53132|ZFP57,1.1191076333867128e-07,Mus musculus,ZFP57,tf,,Embryonic Stem Cell,,1.0,ZFP57
50164|CHRM2,1.2385231601916462e-07,Mus musculus,CHRM2,predicted chromatin regulator,,,Limb Bud,1.0,CHRM2
52523|TFAP2C,1.3872677103287786e-07,Mus musculus,TFAP2C,predicted transcription factor,,,Mammary Gland,1.0,TFAP2C
53113|TCF12,2.022501778814536e-07,Mus musculus,TCF12,tf,,Embryonic Stem Cell,Embryo,1.0,TCF12
43659|UTF1,2.3780051095137936e-07,Mus musculus,UTF1,tf,KH2,Embryonic Stem Cell,Embryo,1.0,UTF1
40271|FOXA2,2.535787530084384e-07,Mus musculus,FOXA2,tf,,,Pancreas,1.0,FOXA2
47291|FEZF2,5.37454001785736e-07,Mus musculus,FEZF2,tf,,Neurosphere,,1.0,FEZF2
4404|JARID2,5.828438886601792e-07,Mus musculus,JARID2,cr,,Embryonic Stem Cell,Embryo,1.0,JARID2
34027|KDM2B,7.029381361070769e-07,Mus musculus,KDM2B,cr,,Embryonic Stem Cell,Embryo,1.0,KDM2B
44862|SMARCA4,9.09052975591182e-07,Mus musculus,SMARCA4,cr,,Epithelium,Neural Tube,1.0,SMARCA4
53170|DPPA2,9.64688615282436e-07,Mus musculus,DPPA2,predicted chromatin regulator,CGR8,Embryonic Stem Cell,Embryo,1.0,DPPA2
44342|KLF5,1.3859640100540621e-06,Mus musculus,KLF5,tf,CGR8,Embryonic Stem Cell,Embryo,1.0,KLF5
55110|PPARG,1.6179528953355387e-06,Mus musculus,PPARG,tf,,,Epididymal White Adipose Tissue,1.0,PPARG
59428|HEY1,1.696150777908136e-06,Mus musculus,HEY1,tf,,Embryonic Stem Cell,Embryo,1.0,HEY1
56133|RBFOX2,1.8488946478465308e-06,Mus musculus,RBFOX2,other,,,Heart,1.0,RBFOX2
41583|AR,2.581147140308598e-06,Mus musculus,AR,tf,,Epithelium,Prostate,0.0,AR
8980|MEN1,2.775136170818717e-06,Mus musculus,MEN1,tf,3.2N,Embryonic Stem Cell,Embryo,1.0,MEN1
34039|NANOG,4.611261878267407e-06,Mus musculus,NANOG,tf,,Embryonic Stem Cell,Embryo,1.0,NANOG
41316|KDM4C,7.949328281701247e-06,Mus musculus,KDM4C,cr,,Embryonic Stem Cell,Embryo,1.0,KDM4C
9033|TET1,8.75129878316076e-06,Mus musculus,TET1,cr,P19.6,,Embryo,1.0,TET1
4405|MTF2,9.783754692402912e-06,Mus musculus,MTF2,cr,,Embryonic Stem Cell,Embryo,1.0,MTF2
44801|CEBPB,1.2081530706363519e-05,Mus musculus,CEBPB,tf,3T3-L1,Preadipocyte,Adipose,1.0,CEBPB
2907|NELFA,1.509117311748186e-05,Mus musculus,NELFA,not sure,V6.5,Embryonic Stem Cell,Embryo,1.0,NELFA
38475|CBX7,2.107008581049728e-05,Mus musculus,CBX7,cr,E14,Embryonic Stem Cell,Embryo,1.0,CBX7
37400|PR,2.1810787064542778e-05,Mus musculus,PR,predicted transcription factor,,,Uterus,1.0,PR
4606|TAF3,2.266833588113697e-05,Mus musculus,TAF3,cr,,Embryonic Stem Cell,Embryo,1.0,TAF3
44806|MED1,2.278618802316029e-05,Mus musculus,MED1,predicted transcription factor,3T3-L1,Preadipocyte,Adipose,1.0,MED1
58789|nan,2.296405628029581e-05,,,,,,,,nan
55118|NR3C1,2.823310746759806e-05,Mus musculus,NR3C1,tf,,,Adipose,1.0,NR3C1
51763|SOX2,3.4011933175872265e-05,Mus musculus,SOX2,tf,,Multipotent progenitor cell,Otic,1.0,SOX2
8830|PHF19,3.5638589044447794e-05,Mus musculus,PHF19,cr,E14,Embryonic Stem Cell,Embryo,1.0,PHF19
51326|ZIC1/2,4.660202062402927e-05,Mus musculus,ZIC1/2,other,,,Cerebellum,1.0,ZIC1/2
5761|TBP,5.659387634215745e-05,Mus musculus,TBP,tf,V6.5,Embryonic Stem Cell,Embryo,1.0,TBP
8304|KDM1A,6.033715121544123e-05,Mus musculus,KDM1A,cr,V6.5,Embryonic Stem Cell,Embryo,1.0,KDM1A
39887|CEBPA,6.956971364562611e-05,Mus musculus,CEBPA,tf,,Epithelium,Liver,1.0,CEBPA
44552|KLF4,7.780049521473438e-05,Mus musculus,KLF4,tf,CGR8,Embryonic Stem Cell,Embryo,1.0,KLF4
55425|NEUROD2,0.00011620015130219162,Mus musculus,NEUROD2,tf,,Embryonic Cortex,Brain,1.0,NEUROD2
44753|ESR1,0.00012527178532335757,Mus musculus,ESR1,tf,,,Uterus,1.0,ESR1
