,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
8828|SUZ12,2.5940360970366783e-13,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0,SUZ12
41872|EZH2,3.7676639585981775e-11,Mus musculus,EZH2,cr,E14,Embryonic Stem Cell,Embryo,1.0,EZH2
43419|KMT2B,3.392352510012131e-10,Mus musculus,KMT2B,cr,E14,Embryonic Stem Cell,Embryo,1.0,KMT2B
35897|H2AZ,4.1501263536858346e-10,Mus musculus,H2AZ,predicted chromatin regulator,,B Lymphocyte,,1.0,H2AZ
56642|RNF2,2.2428413570807493e-09,Mus musculus,RNF2,predicted transcription factor,E14Tg2A,Embryonic Stem Cell,,1.0,RNF2
34640|CLOCK,4.253677743371043e-09,Mus musculus,CLOCK,tf,,,Liver,0.0,CLOCK
58293|NRF1,5.294289284751841e-09,Mus musculus,NRF1,tf,,Embryonic Stem Cell,Embryo,1.0,NRF1
50164|CHRM2,1.1257157150890151e-08,Mus musculus,CHRM2,predicted chromatin regulator,,,Limb Bud,1.0,CHRM2
41603|AR,1.2075999589189479e-08,Mus musculus,AR,tf,,,Caput Epididymis,1.0,AR
53132|ZFP57,1.310798874998298e-08,Mus musculus,ZFP57,tf,,Embryonic Stem Cell,,1.0,ZFP57
4405|MTF2,1.4610780862955863e-08,Mus musculus,MTF2,cr,,Embryonic Stem Cell,Embryo,1.0,MTF2
43659|UTF1,1.6796657509310364e-08,Mus musculus,UTF1,tf,KH2,Embryonic Stem Cell,Embryo,1.0,UTF1
8907|TBX3,1.8977336257997024e-08,Mus musculus,TBX3,tf,,Myocyte,Heart,1.0,TBX3
53113|TCF12,2.033231449871664e-08,Mus musculus,TCF12,tf,,Embryonic Stem Cell,Embryo,1.0,TCF12
52674|C17orf96,3.939475717862351e-08,Mus musculus,C17orf96,not sure,E14,Embryonic Stem Cell,Embryo,1.0,C17orf96
40271|FOXA2,4.8811806874216046e-08,Mus musculus,FOXA2,tf,,,Pancreas,1.0,FOXA2
48329|SPI1,5.005502257127148e-08,Mus musculus,SPI1,predicted transcription factor,,Embryonic Stem Cell,Embryo,1.0,SPI1
39791|T,7.6729017972621e-08,Mus musculus,T,tf,,,Testis,1.0,T
38215|ARNTL,8.469158996327053e-08,Mus musculus,ARNTL,predicted transcription factor,,Epithelium,Liver,0.0,ARNTL
47291|FEZF2,2.007235589407408e-07,Mus musculus,FEZF2,tf,,Neurosphere,,1.0,FEZF2
52523|TFAP2C,3.0627689545648096e-07,Mus musculus,TFAP2C,predicted transcription factor,,,Mammary Gland,1.0,TFAP2C
34027|KDM2B,3.360255252937705e-07,Mus musculus,KDM2B,cr,,Embryonic Stem Cell,Embryo,1.0,KDM2B
4404|JARID2,3.391598780710936e-07,Mus musculus,JARID2,cr,,Embryonic Stem Cell,Embryo,1.0,JARID2
