,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
8828|SUZ12,2.5940360970366783e-13,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
36823|SUZ12,1.015931783143742e-11,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
38482|SUZ12,1.015931783143742e-11,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
41872|EZH2,3.7676639585981775e-11,Mus musculus,EZH2,cr,E14,Embryonic Stem Cell,Embryo,1.0
57889|SUZ12,1.6863710428083323e-10,Mus musculus,SUZ12,cr,,Thymocyte,Thymus,1.0
43419|KMT2B,3.392352510012131e-10,Mus musculus,KMT2B,cr,E14,Embryonic Stem Cell,Embryo,1.0
35897|H2AZ,4.1501263536858346e-10,Mus musculus,H2AZ,predicted chromatin regulator,,B Lymphocyte,,1.0
41871|EZH2,1.291687201643299e-09,Mus musculus,EZH2,cr,E14,Embryonic Stem Cell,Embryo,1.0
56642|RNF2,2.2428413570807493e-09,Mus musculus,RNF2,predicted transcription factor,E14Tg2A,Embryonic Stem Cell,,1.0
38481|RNF2,2.414374422610166e-09,Mus musculus,RNF2,predicted transcription factor,E14,Embryonic Stem Cell,Embryo,1.0
48946|SUZ12,2.7245922740171125e-09,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
2161|EZH2,3.6979702078276944e-09,Mus musculus,EZH2,cr,LF2,Embryonic Stem Cell,Embryo,1.0
34640|CLOCK,4.253677743371043e-09,Mus musculus,CLOCK,tf,,,Liver,0.0
48942|SUZ12,4.8135162522555675e-09,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
58293|NRF1,5.294289284751841e-09,Mus musculus,NRF1,tf,,Embryonic Stem Cell,Embryo,1.0
41904|SUZ12,5.997081164998974e-09,Mus musculus,SUZ12,cr,E14,Embryonic Stem Cell,Embryo,1.0
4603|SUZ12,1.0472483769063956e-08,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0
57890|SUZ12,1.0480556034142552e-08,Mus musculus,SUZ12,cr,,Thymocyte,Thymus,1.0
50164|CHRM2,1.1257157150890151e-08,Mus musculus,CHRM2,predicted chromatin regulator,,,Limb Bud,1.0
