,0,TF
8828|SUZ12,4.935704154877684e-31,SUZ12
41872|EZH2,3.9321888406601277e-25,EZH2
38481|RNF2,9.008539221687758e-22,RNF2
41581|AR,1.6232719071865814e-17,AR
4405|MTF2,1.1529148774749515e-16,MTF2
35897|H2AZ,1.3205047640569712e-16,H2AZ
43419|KMT2B,2.1219483897120162e-16,KMT2B
58293|NRF1,8.832684090913045e-16,NRF1
43659|UTF1,1.547817753561348e-15,UTF1
53113|TCF12,2.2812808886618865e-15,TCF12
8907|TBX3,2.5066578049246567e-15,TBX3
50164|CHRM2,3.250120883406753e-15,CHRM2
9033|TET1,3.2866699631050522e-15,TET1
51021|JARID2,8.10175369500797e-15,JARID2
38475|CBX7,8.619919873564443e-15,CBX7
53132|ZFP57,1.7067469074556224e-14,ZFP57
52674|C17orf96,6.606303596838399e-14,C17orf96
40271|FOXA2,8.607118922234952e-14,FOXA2
48329|SPI1,2.1091399242637836e-13,SPI1
52523|TFAP2C,9.915002713695713e-13,TFAP2C
47291|FEZF2,1.9953119914833006e-12,FEZF2
44862|SMARCA4,2.475102187628049e-12,SMARCA4
35602|5HMC,2.8728853533044577e-12,5HMC
34027|KDM2B,3.022732915778019e-12,KDM2B
59428|HEY1,6.038213827285438e-12,HEY1
39791|T,6.491042494586271e-12,T
53170|DPPA2,1.1068306779391624e-11,DPPA2
34640|CLOCK,1.1189794029445248e-11,CLOCK
37400|PR,2.5885198885429958e-11,PR
34039|NANOG,3.9731636747683304e-11,NANOG
9024|NR3C1,8.040245669080147e-11,NR3C1
44342|KLF5,1.3849210518845346e-10,KLF5
38215|ARNTL,2.373121765611579e-10,ARNTL
8980|MEN1,3.6332723844956806e-10,MEN1
41316|KDM4C,3.889611191483075e-10,KDM4C
56133|RBFOX2,5.60038751936244e-10,RBFOX2
39131|nan,8.624878618586194e-10,nan
50683|RFX6,3.834743242715607e-09,RFX6
55425|NEUROD2,5.612691719146607e-09,NEUROD2
8976|ZFP42,6.3924149984722845e-09,ZFP42
44274|SREBF1,1.0779199363492623e-08,SREBF1
55979|SMC1A,1.9293689653825054e-08,SMC1A
8910|NKX2-5,2.131558967359151e-08,NKX2-5
44797|RXRA,2.4589479826344654e-08,RXRA
5412|NOTCH1,4.1265017390701155e-08,NOTCH1
40277|PTF1A,8.752301537818079e-08,PTF1A
9283|DMC1,9.588583181373359e-08,DMC1
32786|BMI1,1.0170725550642543e-07,BMI1
44552|KLF4,1.1617632176107502e-07,KLF4
73|MECP2,1.2762027923825166e-07,MECP2
8304|KDM1A,1.336562602695676e-07,KDM1A
44806|MED1,1.4306618103259021e-07,MED1
35313|TNNI2,1.64187721995318e-07,TNNI2
48323|ATF3,1.8825772578972391e-07,ATF3
2907|NELFA,1.8923589080323667e-07,NELFA
51962|ASCL1,2.1562889239207483e-07,ASCL1
32842|REST,2.779149720473821e-07,REST
55110|PPARG,3.8301768646873265e-07,PPARG
48516|OTX2,4.2577726929132045e-07,OTX2
52873|TRIM33,4.6914650826240533e-07,TRIM33
36206|MBD4,5.580333227223746e-07,MBD4
4498|PRDM14,5.95562068333899e-07,PRDM14
4606|TAF3,6.539595337820246e-07,TAF3
36824|PITX1,6.740917823401748e-07,PITX1
37792|NPAS2,8.122965035599796e-07,NPAS2
34117|ESR1,9.68366273991213e-07,ESR1
5761|TBP,1.118409306156676e-06,TBP
51763|SOX2,1.185101877735013e-06,SOX2
54181|SOX9,1.1979195499148077e-06,SOX9
8830|PHF19,1.328194541405995e-06,PHF19
44801|CEBPB,1.5066393957187873e-06,CEBPB
53115|SMAD2/3,1.5451908502326068e-06,SMAD2/3
53159|DNMT3A,1.8620623377005212e-06,DNMT3A
52892|CREBBP,2.053534239189304e-06,CREBBP
32928|SMC5,2.126885674891702e-06,SMC5
54219|EBF1,2.22696203633742e-06,EBF1
327|SIN3A,2.440247767190431e-06,SIN3A
43908|RELA,3.66430926053083e-06,RELA
56269|MYC,3.7331650307469137e-06,MYC
51036|TDG,5.455512380368132e-06,TDG
1533|TBX5,5.975253535268864e-06,TBX5
50583|IRF7,6.344506850282873e-06,IRF7
58144|SIX4,6.638436536888324e-06,SIX4
52111|INSM1,6.758414633839193e-06,INSM1
50081|Input,7.228254411866412e-06,Input
40276|RBPJL,7.678973834255687e-06,RBPJL
51323|ZIC1/2,7.733086921136e-06,ZIC1/2
33065|IRF4,7.78004894274438e-06,IRF4
52819|SIRT6,7.78004894274438e-06,SIRT6
52903|MED23,7.78004894274438e-06,MED23
41977|EHMT2,9.299217846440492e-06,EHMT2
3003|CBX5,9.318206491002566e-06,CBX5
8348|MEIS1,9.608379859592271e-06,MEIS1
41965|RUNX3,9.672836500515108e-06,RUNX3
41858|POU3F2,9.821798344102018e-06,POU3F2
58544|SMAD1/5,1.0916520909992557e-05,SMAD1/5
39374|ERG,1.1504510618782346e-05,ERG
49567|JUNB,1.1834614421291393e-05,JUNB
5372|SS18,1.2104708712914245e-05,SS18
177|RXRG,1.2275359721293595e-05,RXRG
47684|GATA4,1.2279383276066191e-05,GATA4
5065|BRD4,1.2737903338351302e-05,BRD4
54372|KLF15,1.3738854743500882e-05,KLF15
54374|STAT1,1.4008647471644966e-05,STAT1
52800|NR4A1,1.5255401690235677e-05,NR4A1
8912|FOXA1,1.6469437913942837e-05,FOXA1
51966|LDB1,1.6614344505808755e-05,LDB1
36731|RARG,1.690019899640156e-05,RARG
54705|BRWD1,1.8575696783090333e-05,BRWD1
37573|ISL1,1.874268156567987e-05,ISL1
2645|NR1H2,1.9229823907023425e-05,NR1H2
39587|EGR1,1.975762890159162e-05,EGR1
35792|FOXP3,2.097166097784117e-05,FOXP3
38476|RYBP,2.1526051451832693e-05,RYBP
48108|HNF4A,2.154757920753577e-05,HNF4A
44732|RUNX1,2.2849858312624826e-05,RUNX1
55330|NBN,2.3555681765296877e-05,NBN
59295|ATF4,2.4758496791855733e-05,ATF4
5070|CDK9,2.6054644220148782e-05,CDK9
9270|CTCFL,2.7026731617416916e-05,CTCFL
8349|HOXA9,2.719842102107037e-05,HOXA9
39114|CTCF,2.803173762376067e-05,CTCF
55533|RAG1,2.9253456780562315e-05,RAG1
44781|NCOR1,3.129526035136684e-05,NCOR1
44674|ESRRB,3.3006282198835814e-05,ESRRB
37750|RBBP5,3.397950683065472e-05,RBBP5
37870|PER1,3.665040319961197e-05,PER1
58851|MTA2,3.697603381113547e-05,MTA2
404|DPY30,3.760457541649894e-05,DPY30
53728|SMCHD1,3.8108967478674155e-05,SMCHD1
52935|MBD3,3.902166875976454e-05,MBD3
45|NPAS4,3.9837933968274015e-05,NPAS4
4507|RAG2,4.2954184256842323e-05,RAG2
4121|HDAC3,4.38593042367392e-05,HDAC3
32916|BRCA1,4.5315643486285194e-05,BRCA1
37876|MAFF,4.547731809227281e-05,MAFF
105|CEBPA,4.719625942573037e-05,CEBPA
47780|GRHL3,4.7659679435215506e-05,GRHL3
42611|EED,4.853372082147771e-05,EED
59139|OLIG2,4.942631315522346e-05,OLIG2
53951|YY1,5.036760015175353e-05,YY1
5919|TBX20,5.113897412142294e-05,TBX20
52802|FGFR1,5.196395301100182e-05,FGFR1
43701|RUNX2,5.386098780564984e-05,RUNX2
56091|SMARCA5,5.501130401210997e-05,SMARCA5
58208|POU5F1,5.670798049558351e-05,POU5F1
8860|STAG1,5.95785908761541e-05,STAG1
48645|BIRA,6.040847880649522e-05,BIRA
35710|EOMES,6.0512452867792806e-05,EOMES
2983|AFF4,6.208212716587448e-05,AFF4
33846|RBPJ,6.221416352252462e-05,RBPJ
35684|KMT2C,6.325019030435063e-05,KMT2C
42591|STAT3,6.404103915776928e-05,STAT3
43115|PRDM5,6.588227128094587e-05,PRDM5
49579|FOSB,6.646630118785958e-05,FOSB
50930|RB1,6.712873798787209e-05,RB1
2864|NIPBL,6.750801914857553e-05,NIPBL
57997|HDAC1,6.800353985855014e-05,HDAC1
48386|H3S28ph,6.887291377302216e-05,H3S28ph
55099|HRAS,7.02188732629473e-05,HRAS
55698|EZH1,7.616845163939905e-05,EZH1
48660|ATRX,7.747631469741427e-05,ATRX
41359|PHF20,8.883354206673451e-05,PHF20
4412|NR1D1,8.888029624337108e-05,NR1D1
33647|RPA,9.107107522596959e-05,RPA
53682|JUN,9.22265976481114e-05,JUN
39926|GFI1,9.278507243929794e-05,GFI1
50492|CTNNB1,9.814199990747104e-05,CTNNB1
59458|AFF3,0.00010138944775154427,AFF3
49557|FOS,0.0001030786865834314,FOS
44716|ETS1,0.00010517653999348097,ETS1
47460|TWIST1,0.00010854426908419046,TWIST1
9165|KDM4D,0.00010928739763486853,KDM4D
333|SIN3B,0.00011030607386633156,SIN3B
53015|SCML2,0.00011535584910608905,SCML2
43895|GATA2,0.00011621937811084153,GATA2
52987|KDM3A,0.0001177180415972049,KDM3A
41874|DNMT3L,0.00011988945256945717,DNMT3L
52736|RAD23B,0.0001227081035251029,RAD23B
37886|E2F1,0.00012354103477074955,E2F1
55161|MYOD1,0.0001237033105060576,MYOD1
41643|POLR3G,0.0001239344021816339,POLR3G
5846|STAT5B,0.00012614558537937836,STAT5B
48776|TP53,0.00012833646267106192,TP53
54453|SLC5A5,0.00013094419221536995,SLC5A5
44222|SMARCC2,0.000130968314460703,SMARCC2
39128|KAT8,0.00014157502331750774,KAT8
44151|MKL1,0.0001420153460740411,MKL1
14|KLF1,0.00014203752556178023,KLF1
37920|EGR2,0.00014260930344184856,EGR2
36207|MBD2,0.0001435978981212688,MBD2
9157|NKX3-1,0.0001443350103276843,NKX3-1
34088|HIST1H1D,0.00014488615553342042,HIST1H1D
57964|HMGA2,0.00014727214951699137,HMGA2
5806|E2F3,0.00014802015459931757,E2F3
33044|SRSF1,0.00014809400934244347,SRSF1
41637|POLR3GL,0.00015030329811492954,POLR3GL
47110|POLR3A,0.00015281785020219358,POLR3A
41364|WDR5,0.00015855505969082526,WDR5
50721|TAL1,0.00016040493133139214,TAL1
2251|CDX2,0.00016654173381058516,CDX2
52438|SIRT1,0.00016843320877319955,SIRT1
35211|NCOA3,0.0001729567451717908,NCOA3
53433|HNRNPL,0.00017352683383787417,HNRNPL
39628|RELB,0.00017374724490926691,RELB
5505|STAT5A,0.00017481363818834202,STAT5A
43874|Ubiquitin,0.00017648002309219763,Ubiquitin
52983|ARID1A,0.0001797685388182649,ARID1A
51092|GATA6,0.00017985011107418363,GATA6
37888|ETS2,0.0001802812304886299,ETS2
56095|TGIF1,0.00018394159274667777,TGIF1
57016|STAT5,0.00018751797595068645,STAT5
39605|REL,0.0001878780405091025,REL
35243|MBD1,0.00019113031196866842,MBD1
