,0
8828|SUZ12,4.935704154877684e-31
57889|SUZ12,6.984843154839487e-26
41872|EZH2,3.9321888406601277e-25
36823|SUZ12,2.3589395658634903e-23
38482|SUZ12,2.3589395658634903e-23
38481|RNF2,9.008539221687758e-22
41871|EZH2,5.98559960311515e-21
48942|SUZ12,7.89602435998753e-21
57890|SUZ12,1.0573532210319989e-20
36071|SUZ12,3.019759889452234e-20
56642|RNF2,8.296109661992215e-20
2161|EZH2,1.0496534450370087e-19
39696|SUZ12,1.2311060145585132e-19
48946|SUZ12,2.1767884574545677e-19
4603|SUZ12,2.535761085444995e-19
48941|SUZ12,3.0498429405374923e-19
2167|SUZ12,9.272340918252807e-19
41904|SUZ12,1.3975286108973672e-18
36072|SUZ12,2.3719294527087393e-18
36201|SUZ12,6.664607468719524e-18
48951|SUZ12,1.100466992682689e-17
41581|AR,1.6232719071865814e-17
8829|SUZ12,6.616621705669878e-17
48949|SUZ12,9.241083792096769e-17
4405|MTF2,1.1529148774749515e-16
35897|H2AZ,1.3205047640569712e-16
43419|KMT2B,2.1219483897120162e-16
41580|AR,3.290125307905707e-16
2903|SUZ12,6.784778327685325e-16
58293|NRF1,8.832684090913045e-16
43659|UTF1,1.547817753561348e-15
48948|SUZ12,1.8079096468845677e-15
48947|SUZ12,2.013915592532217e-15
53113|TCF12,2.2812808886618865e-15
8907|TBX3,2.5066578049246567e-15
39698|SUZ12,2.6439930277387172e-15
50164|CHRM2,3.250120883406753e-15
9033|TET1,3.2866699631050522e-15
58796|SUZ12,3.922989587150298e-15
51021|JARID2,8.10175369500797e-15
38475|CBX7,8.619919873564443e-15
2165|JARID2,1.1721319959309595e-14
41903|SUZ12,1.4507427295170012e-14
53132|ZFP57,1.7067469074556224e-14
41897|EZH2,1.7771738223241908e-14
52674|C17orf96,6.606303596838399e-14
40271|FOXA2,8.607118922234952e-14
53111|TCF12,9.942913613265447e-14
48329|SPI1,2.1091399242637836e-13
37751|H2AZ,2.607516690169e-13
44006|H2AZ,2.642374978760234e-13
48950|SUZ12,4.982703688643627e-13
34713|RNF2,5.85056343867549e-13
4404|JARID2,6.287758316891505e-13
48943|SUZ12,9.302072821820576e-13
52523|TFAP2C,9.915002713695713e-13
41603|AR,1.0371349764707466e-12
4602|SUZ12,1.2224780257960466e-12
457|TET1,1.405623271334123e-12
48945|SUZ12,1.4832794793620762e-12
41583|AR,1.645757336659958e-12
47291|FEZF2,1.9953119914833006e-12
44862|SMARCA4,2.475102187628049e-12
35602|5HMC,2.8728853533044577e-12
34027|KDM2B,3.022732915778019e-12
41898|EZH2,3.137088314560094e-12
36202|SUZ12,3.3670979109466684e-12
59428|HEY1,6.038213827285438e-12
48327|SPI1,6.115526492524864e-12
39791|T,6.491042494586271e-12
34917|KDM2B,9.033099104810558e-12
40272|FOXA2,1.0768084835465362e-11
53170|DPPA2,1.1068306779391624e-11
34640|CLOCK,1.1189794029445248e-11
37400|PR,2.5885198885429958e-11
48944|SUZ12,3.4817501302560206e-11
34039|NANOG,3.9731636747683304e-11
53116|TCF12,6.177437347322974e-11
34922|RNF2,7.693150909131535e-11
9024|NR3C1,8.040245669080147e-11
9078|SUZ12,8.534155744661167e-11
41582|AR,1.1376201273238698e-10
43058|H2AZ,1.301928519769287e-10
44342|KLF5,1.3849210518845346e-10
34887|KDM2B,1.4666228187611877e-10
47760|KDM2B,2.13026609844687e-10
38215|ARNTL,2.373121765611579e-10
57234|EZH2,2.65068582177501e-10
9025|NR3C1,2.677720305691734e-10
8980|MEN1,3.6332723844956806e-10
41316|KDM4C,3.889611191483075e-10
434|TET1,4.0033325413532394e-10
9080|EZH2,5.216450741007972e-10
56133|RBFOX2,5.60038751936244e-10
41604|AR,5.729770674506795e-10
44217|SMARCA4,6.238902799718563e-10
39131|nan,8.624878618586194e-10
43660|UTF1,1.3611410536888387e-09
39376|AR,1.7205496702351114e-09
458|TET1,2.220063711173515e-09
50968|SUZ12,2.338711757870987e-09
50967|SUZ12,2.5700949148798506e-09
39391|AR,2.9584673958237314e-09
50683|RFX6,3.834743242715607e-09
47765|RNF2,3.991197184303515e-09
55425|NEUROD2,5.612691719146607e-09
8976|ZFP42,6.3924149984722845e-09
58799|SUZ12,7.092675175583693e-09
