,0
MC00332|PAX5,3.872078286979578e-29
MS00135|KLF14,1.335218781224112e-24
M00717|PAX8,1.9811198961166478e-24
M00139|AHR,4.73398126563435e-24
MC00320|EGR1,6.4352033947925645e-24
MC00257|Pax5,9.809043363925087e-24
M00327|PAX3,1.2158284890750671e-23
M00143|PAX5,2.198712443913028e-23
M01177|SREBF2,1.5896479461398182e-22
UP00057|ZIC2,2.3456064251177956e-22
MS00357|ZIC4,2.963272264148005e-22
UP00003|E2F3,6.788419950856967e-22
MC00299|BRCA1,1.723421006666659e-21
MS00079|HINFP1,2.086741508854514e-21
M01122|ZNF219,2.2757894342584123e-21
MC00418|ZBTB33,2.7718312368369522e-21
UP00088|PLAGL1,4.20908323588062e-21
MS00567|EGR3,4.2500858986083754e-21
MS00239|Tcfap2a,4.642353175556719e-21
M01592|TFCP2L1,7.562736358534861e-21
MC00221|Tbx3,8.011668217067213e-21
MC00376|ZBTB7A,8.393944769159465e-21
UP00102|ZIC1,9.068303852185181e-21
MC00523|E2F4,1.2443089249164747e-20
M00373|PAX4,1.551609618713527e-20
UP00001|E2F2,1.8474267182177904e-20
MA0014|PAX5,1.8894999179272892e-20
MS00789|Egr3,3.9144511181554954e-20
MC00182|E2F1,5.407142930395298e-20
MS00445|ZNF740,6.194297287141561e-20
M01118|WT1,7.22812163484447e-20
MS00117|PAX1,7.722813962149524e-20
MS00118|PAX2,1.0631016069953735e-19
MS00128|PAX9,1.3235746057122534e-19
UP00006|Zic3,1.4628268481067873e-19
MS00346|ZIC3,1.6473956285198531e-19
MS00228|TFAP2B,1.6478119303578505e-19
MS00523|Zic3,2.490022832068312e-19
MC00319|EGR2,2.79330018206557e-19
MS00246|SP8,3.843744096196174e-19
MA0116|Zfp423,3.882150994660517e-19
MS00223|SP3,4.1876669816363854e-19
MS00334|ZIC1,4.609393878578699e-19
MS00035|GLIS2,4.738243136471021e-19
M00332|FOXN1,4.941381997967895e-19
MS00534|CENPB,5.989287381867551e-19
UP00087|Tcfap2c,8.537282834921308e-19
MC00333|ESR2,1.2206186209342136e-18
M00491|PATZ1,2.0376950685460528e-18
UP00065|Zfp161,2.073341464744451e-18
MS00323|ZBTB7C,2.8187460789845423e-18
MS00678|EGR4,3.2765630280674025e-18
UP00021|Zfp281,4.343066768287216e-18
M01783|SP2,6.2209542703447765e-18
MC00430|Egr2,6.5382984184814345e-18
MS00211|TBX2,6.5526996441174726e-18
MS00024|GLIS1,6.65792460645515e-18
M00695|TEAD2,6.801963274787412e-18
MC00140|Stat3,6.817345518484895e-18
UP00084|Gmeb1,7.187619186997033e-18
MC00158|E2f4,8.491322156127667e-18
M00737|E2F1::TFDP2,8.669557877796287e-18
M01714|KLF15,1.3498981419523473e-17
MC00183|Snai1,1.638356384152541e-17
MC00174|REST,2.05618376542764e-17
MS00240|Tcfap2a,2.1349648253198448e-17
MS00235|SP4,2.2754070479899076e-17
UP00000|SMAD3,2.7732371606833642e-17
MS00212|SP1,3.097937669065645e-17
M00378|PAX4,3.1860403403741237e-17
MS00146|KLF16,3.371229721568359e-17
UP00028|Tcfap2e,4.7701359048962665e-17
MC00328|Zfx,4.812841471386218e-17
MS00843|GLI2,5.137672946375954e-17
MS00512|Zfp740,6.125764728467646e-17
MS00046|GLIS3,6.306870730369207e-17
M00647|NR1H3,7.276585117507994e-17
MS00090|HINFP1,7.545333328377838e-17
UP00066|HNF4A,8.870202108025057e-17
MC00254|E2F6,1.2485892432978673e-16
M01002|DEAF1,1.6665820149734392e-16
MC00252|Rara,2.8800701344730043e-16
M01742|Zscan10,3.13055300326041e-16
MC00391|ZNF143,3.6328599455916546e-16
MS00048|GCM1,4.707337215365137e-16
MS00815|E2F1,4.980790749803441e-16
MS00727|ZBTB49,9.248215820766322e-16
M00649|MAZ,1.0119240455303604e-15
MS00301|ZBTB7A,1.1204668053321093e-15
MS00124|KLF13,1.289769540231458e-15
M00736|E2F1::TFDP1,1.4212793173025186e-15
MS00285|TCF4,1.5165042265484317e-15
MC00510|E2f3,1.9126061879326567e-15
MS00229|TFAP2B,2.085756674524702e-15
MC00427|ETV1,2.1834480907560545e-15
MS00157|Klf12,2.5298620801390005e-15
M01241|GTF2IRD1,3.6806177420089335e-15
