Input Sample	Somatotropes	Lactotropes	Corticotropes	Gonadotropes	Stem_cell	Endothelial	Proliferating	Melanotropes	Pericytes	Macrophages	Pituicytes	Thyrotropes	Somato_Lacto	P-value	Pearson Correlation	RMSE
WL1505_Pd12F1	0	0	0	0.002223090019934226	0.12466218235458766	0.0107551083347575	0.621729374360409	0.23941464739351373	0.0009	0	0.0003	0	0	0.61	0.00589058045052285	0.999742181930118
WL1506_Pd12F2	0	0	0	0.001992922150019466	0.1115758829319797	0.009534610162554967	0.679641742218005	0.1960923809101776	0.0005	0	0	0.0006	0	0.57	0.007422603821049087	0.9997180262889642
WL1507_Pd12F3	0	0	0	0.002060025854731968	0.11513586695093377	0.009869725464445343	0.6230502328682964	0.2484025463061013	0.0007	0	0.0003	0.0004	0	0.61	0.006148794897927219	0.9997407313603804
WL1508_Pd12F4	0	0	0	0.002769119540849622	0.10289155844554675	0.018983204762987867	0.6208456963440051	0.2539352871207921	0.0005	0	0.0001	0	0	0.6	0.006807799442133371	0.9997365181015214
WL1509_Pd12F5	0	0	0	0.0021446070873212884	0.11681434398597587	0.008607268417272029	0.6000849264461763	0.2708265326455371	0.0013154330042655339	0	0.0002	0	0	0.6	0.006711166762419117	0.9997373590408346
WL1510_Pd12F6	0	0	0	0.003253433566794252	0.11157312625446528	0.018925888516105868	0.6338302445346831	0.23160447900271217	0.0007	0	0.0001	0	0	0.64	0.004334393242183788	0.999769234366998
WL1512_Pd12M2	0	0	0	0.0006	0.12147810016429564	0.010562873637273847	0.6185016749295453	0.248056771898552	0.0008	0	0	0	0	0.61	0.006361109586620914	0.9997395122058346
WL1513_Pd12M3	0	0	0	0.0005	0.12487241861306937	0.010189330591604567	0.6791510920444037	0.18357083237710714	0.0011251323925402506	0	0.0005	0	0	0.61	0.00495287144063359	0.9997449186896956
WL1514_Pd12M4	0	0	0	0.0020418479662542618	0.11095133927224221	0.01761845608123821	0.6442644012030322	0.22434895066293475	0.0007	0	0.0001	0	0	0.61	0.005387381747587041	0.9997513102120938
WL1515_Pd12M5	0	0.0001	0	0.0028940654894608433	0.10824493347349437	0.020213466589961825	0.656090806969966	0.21181893535572396	0.0005	0	0.0001	0	0	0.64	0.004370218655181373	0.9997653131836558
