Mixture	Proliferating	Endothelial	Somatotropes	Corticotropes	Stem_cell	Lactotropes	Melanotropes	Gonadotropes	Somato_Lacto	Thyrotropes	Macrophages	Pericytes	Pituicytes	P-value	Correlation	RMSE
WL1505_Pd12F1	0.025048973208445	0.174175743445643	0	0	0.30842785225248	0	0.186847728612023	0.125660923314311	0	0.109322303645778	0	0	0.0705164755213208	0.02	0.105559588750764	1.04715830063402
WL1506_Pd12F2	0.0519954238398497	0.180035695798636	0	0	0.267338428869741	0	0.167264298247693	0.151356971082365	0	0.130748233885483	0	0	0.0512609482762325	0.02	0.109136019191863	1.03716011865473
WL1507_Pd12F3	0	0.178141259282112	0	0	0.320975936500402	0	0.214372896729902	0.127952698210359	0	0.105993628763095	0	0	0.0525635805141305	0.02	0.0887766130991273	1.06272397138348
WL1508_Pd12F4	0.0356227471414145	0.10372176599665	0	0	0.217154111025904	0	0.282107595176172	0.265816757128213	0	0.0585944894053943	0	0.0369825341262524	0	0.03	0.0800066480399162	1.07360686383574
WL1509_Pd12F5	0.0358976083243834	0.0964202299420354	0	0	0.232935633856767	0	0.213790249403515	0.234633275022219	0.114739710584956	0.0394996565402857	0	0.0259206740185363	0.00616296230730267	0.03	0.0646923467592581	1.05834681644298
WL1510_Pd12F6	0	0.183045639006439	0	0	0.345627591412132	0	0.200361317847696	0.167236915442053	0	0.0977651246341865	0	0	0.00596341165749335	0.02	0.0887245741666903	1.06905463295361
WL1512_Pd12M2	0.000124590929615686	0.148957451932908	0	0	0.332320066300493	0	0.224838547462731	0.11579105245302	0	0.1512002294105	0	0	0.0267680615107312	0.02	0.106728153583763	1.06328794230062
WL1513_Pd12M3	0	0.290508091939575	0	0	0.235766287938113	0	0.206539749535574	0.0934080705415031	0	0.0858958250798701	0	0.0160797143597422	0.0718022606056225	0.02	0.110619686001055	1.03273988973508
WL1514_Pd12M4	0.00328464390830391	0.1847633113453	0	0	0.274146536282046	0	0.189107396897284	0.157498211922572	0	0.155730434540776	0	0	0.0354694651037181	0.03	0.070720777801234	1.0607500373678
WL1515_Pd12M5	0.0329519348137438	0.074602674852182	0	0	0.274110808827964	0	0.210861883953781	0.134694103667033	0.111865018356474	0.160913575528823	0	0	0	0.02	0.0965996416811568	1.05293089703808
WL1516_Pd12M6	0	0.162511164947323	0	0	0.264383757653824	0	0.230659147355614	0.106492295376146	0	0.131344496925765	0	0	0.104609137741327	0.02	0.0909652603355583	1.05385966503778
WL1517_Pd22F1	0.00264849282402429	0	0	0	0.39565620201069	0	0.343928367646986	0.016984015300752	0.0133293630320771	0.207006982264584	0	0.020446576920887	0	0.0600000000000001	0.0371956612294028	1.15986491489687
WL1518_Pd22F2	0	0.101762821097473	0	0	0.423828006617341	0.0636440303056298	0.254095737230218	0.0938675479637214	0	0.0424918853035051	0	0	0.0203099714821113	0.1	0.0253666067533089	1.12947183608393
