cell_type	sex_bias	genename
FSC	F	Daw1
FSC	F	Isg15
FSC	F	Krt27
FSC	F	LOC685668
FSC	F	Sparcl1
FSC	M	Eif2s3y
FSC	M	Mlc1
FSC	M	Mthfd2
FSC	M	RGD1305645
FSC	M	Slc6a6
Corticotropes	M	Ddx3
Corticotropes	M	Eif2s3y
Corticotropes	M	Oasl2
Corticotropes	M	RT1-T24-4
Gonadotropes	F	Asic2
Gonadotropes	F	B3galt2
Gonadotropes	F	Cdkn1b
Gonadotropes	F	Ddit4l
Gonadotropes	F	Deptor
Gonadotropes	F	Ecel1
Gonadotropes	F	Ftl1
Gonadotropes	F	Galc
Gonadotropes	F	Hpca
Gonadotropes	F	Krt7
Gonadotropes	F	LOC100910438
Gonadotropes	F	LOC102546698
Gonadotropes	F	LOC360998
Gonadotropes	F	LOC685668
Gonadotropes	F	MGC109340
Gonadotropes	F	Neurod4
Gonadotropes	F	Nmu
Gonadotropes	F	Nrsn1
Gonadotropes	F	Pgf
Gonadotropes	F	Pgr
Gonadotropes	F	Ptma
Gonadotropes	F	Pvalb
Gonadotropes	F	RGD1359290
Gonadotropes	F	Rgs4
Gonadotropes	F	Rpl7
Gonadotropes	F	Sox4
Gonadotropes	F	Tmsb10
Gonadotropes	F	Tppp3
Gonadotropes	F	Tpt1
Gonadotropes	F	Vgf
Gonadotropes	M	Actb
Gonadotropes	M	Adamtsl2
Gonadotropes	M	Adcyap1r1
Gonadotropes	M	Ahcyl1
Gonadotropes	M	Akr1b1
Gonadotropes	M	Aldh2
Gonadotropes	M	Amd1
Gonadotropes	M	Amhr2
Gonadotropes	M	Amigo2
Gonadotropes	M	Ankrd34b
Gonadotropes	M	Anxa2
Gonadotropes	M	Aplp2
Gonadotropes	M	Appl2
Gonadotropes	M	Atp8a1
Gonadotropes	M	B3galnt1
Gonadotropes	M	Bpgm
Gonadotropes	M	Bst2
Gonadotropes	M	Cacna2d1
Gonadotropes	M	Caly
Gonadotropes	M	Ccnl1
Gonadotropes	M	Cd164l2
Gonadotropes	M	Cdh1
Gonadotropes	M	Cdh2
Gonadotropes	M	Cdk2ap2
Gonadotropes	M	Chga
Gonadotropes	M	Cited1
Gonadotropes	M	Cnp
Gonadotropes	M	Ctsa
Gonadotropes	M	Ddx3
Gonadotropes	M	Defb24
Gonadotropes	M	Dhfr
Gonadotropes	M	Disp2
Gonadotropes	M	Dnajb1
Gonadotropes	M	Eif2s3y
Gonadotropes	M	Fam84a
Gonadotropes	M	Fosb
Gonadotropes	M	Fshb
Gonadotropes	M	Fth1
Gonadotropes	M	Gata2
Gonadotropes	M	Gem
Gonadotropes	M	Gprasp1
Gonadotropes	M	Gstm7
Gonadotropes	M	Hoga1
Gonadotropes	M	Hspa13
Gonadotropes	M	Ier2
Gonadotropes	M	Igip
Gonadotropes	M	Il18bp
Gonadotropes	M	Ilvbl
Gonadotropes	M	Itm2b
Gonadotropes	M	Ivns1abp
Gonadotropes	M	Jak1
Gonadotropes	M	Jun
Gonadotropes	M	Kcna2
Gonadotropes	M	Kcnj6
Gonadotropes	M	Kcnmb4
Gonadotropes	M	LOC103694558
Gonadotropes	M	Lama1
Gonadotropes	M	Lamp2
Gonadotropes	M	Lrrc3b
Gonadotropes	M	Lynx1
Gonadotropes	M	Lypd8
Gonadotropes	M	MGC93861
Gonadotropes	M	Myl9
Gonadotropes	M	Nbl1
Gonadotropes	M	Nfat5
Gonadotropes	M	Nmb
Gonadotropes	M	Nnat
Gonadotropes	M	Ntrk3
Gonadotropes	M	Oaf
Gonadotropes	M	Oasl2
Gonadotropes	M	Obsl1
Gonadotropes	M	P4ha2
Gonadotropes	M	Pak3
Gonadotropes	M	Paqr3
Gonadotropes	M	Pgap2
Gonadotropes	M	Prr15l
Gonadotropes	M	Psap
Gonadotropes	M	Psmb9
Gonadotropes	M	Ptprf
Gonadotropes	M	RGD1560394
Gonadotropes	M	RT1-T24-4
Gonadotropes	M	Rab3b
Gonadotropes	M	Rab3ip
Gonadotropes	M	Scn3b
Gonadotropes	M	Sdc1
Gonadotropes	M	Sdsl
Gonadotropes	M	Serpinb9
Gonadotropes	M	Sgpp1
Gonadotropes	M	Shisa8
Gonadotropes	M	Sin3b
Gonadotropes	M	Spg21
Gonadotropes	M	Sytl4
Gonadotropes	M	Thrsp
Gonadotropes	M	Tmem206
Gonadotropes	M	Ube2u
Gonadotropes	M	Uso1
Gonadotropes	M	Vegfa
Gonadotropes	M	Zfp771
Somatotropes	F	Cited4
Somatotropes	F	Clec2l
Somatotropes	F	Cryl1
Somatotropes	F	Cryz
Somatotropes	F	Hmcn2
Somatotropes	F	Kcnk1
Somatotropes	F	LOC301748
Somatotropes	F	LOC360998
Somatotropes	F	LOC501396
Somatotropes	F	LOC685668
Somatotropes	F	Rpl7
Somatotropes	F	Shisa4
Somatotropes	F	Slc7a7
Somatotropes	F	Tpt1
Somatotropes	M	Acer2
Somatotropes	M	Cabp1
Somatotropes	M	Cebpb
Somatotropes	M	Coq10b
Somatotropes	M	Ddx3
Somatotropes	M	Dyrk3
Somatotropes	M	Ecel1
Somatotropes	M	Eif2s3y
Somatotropes	M	Gem
Somatotropes	M	Idi1
Somatotropes	M	Nr4a1
Somatotropes	M	Nr4a2
Somatotropes	M	Oasl2
Somatotropes	M	Pappa2
Somatotropes	M	Pard6a
Somatotropes	M	Ptgds
Somatotropes	M	RT1-T24-4
Somatotropes	M	Rgs2
Somatotropes	M	Srxn1
Somatotropes	M	Tesc
Lactotropes	F	Agr2
Lactotropes	F	Anxa10
Lactotropes	F	Arfip2
Lactotropes	F	B3gnt9
Lactotropes	F	Batf3
Lactotropes	F	Card19
Lactotropes	F	Ccng1
Lactotropes	F	Cd44
Lactotropes	F	Cgref1
Lactotropes	F	Chpf
Lactotropes	F	Cit
Lactotropes	F	Cntfr
Lactotropes	F	Copz2
Lactotropes	F	Cpz
Lactotropes	F	Creb3l1
Lactotropes	F	Cyb561d2
Lactotropes	F	Dap
Lactotropes	F	Derl3
Lactotropes	F	Dhx34
Lactotropes	F	Dnajc3
Lactotropes	F	Drd4
Lactotropes	F	Ecel1
Lactotropes	F	Eif2s3
Lactotropes	F	Eif4ebp3
Lactotropes	F	Fam111a
Lactotropes	F	Fkbp10
Lactotropes	F	Fkbp11
Lactotropes	F	Fndc3b
Lactotropes	F	Gal
Lactotropes	F	Gale
Lactotropes	F	Gmppa
Lactotropes	F	Grik1
Lactotropes	F	Hdlbp
Lactotropes	F	Hmcn2
Lactotropes	F	Ikbip
Lactotropes	F	Isg20
Lactotropes	F	Kcnk1
Lactotropes	F	Kdelr2
Lactotropes	F	Kdelr3
Lactotropes	F	Klk1b3
Lactotropes	F	Krt8
Lactotropes	F	LOC304725
Lactotropes	F	LOC691712
Lactotropes	F	Leprel2
Lactotropes	F	Leprel4
Lactotropes	F	Lman1
Lactotropes	F	Mfge8
Lactotropes	F	Mpg
Lactotropes	F	Mt-nd3
Lactotropes	F	Mt3
Lactotropes	F	Mthfd2
Lactotropes	F	Myl9
Lactotropes	F	Nme2
Lactotropes	F	Olfml3
Lactotropes	F	Ostc
