Input Sample,Somatotropes,Lactotropes,Gonadotropes,Thyrotropes,Stem-cells_(Sox2)_FSC,Proliferating_Pou1f1,Vascular_Endothelia,Corticotropes,Melanotropes_(intermediate),Connective_tissue_VLMC,Immune_cells,Pituicytes_(posterior),P-value,Pearson Correlation,RMSE
WL1505_Pd12F1,0,0,0.07775068180531267,0.550476799369035,0.05373996045739837,0.05055924334618718,0.02845785778827289,0.06050178692462222,0.1424089166561804,0.03610475365299126,0,0,0,0.35483726755382816,1.090530717852396
WL1506_Pd12F2,0,0,0.08197558124450485,0.6237150572907125,0.05487086435721934,0.02683305391448329,0.030093950633667262,0.06229332415957265,0.10345796777053266,0.016760200629307453,0,0,0,0.35809399200374686,1.0905894459476906
WL1507_Pd12F3,0,0,0.08207176327080896,0.585172529186224,0.05940185271840381,0.029877246018462953,0.03212198481010505,0.06534827293977964,0.11387838286689064,0.03212796818932502,0,0,0,0.35154190392413365,1.0956503085189877
WL1508_Pd12F4,0,0,0.07872999314236145,0.6288034373132034,0.05810756077045996,0.036799429541644224,0.02861753741080651,0.052215139985152696,0.09616443330880628,0.014276586399555088,0,0.006285882128010418,0,0.35157429233668613,1.095502774897057
WL1509_Pd12F5,0,0,0.09610522287662852,0.558330669122079,0.07317815731879246,0,0.027515488260351943,0.07762616422621552,0.1556301997782101,0.011614098417722497,0,0,0,0.34176188739529184,1.1063983975781777
WL1510_Pd12F6,0,0,0.08264058279154468,0.5757466622812707,0.06944133864515593,0.011878859407251066,0.044422892842122697,0.09299768033830735,0.08935835064561908,0.03351363304872847,0,0,0,0.3466921323767785,1.1028025336857117
WL1512_Pd12M2,0,0,0.05715275501181134,0.6039589608793967,0.05378594529166911,0.050877133829628086,0.031305760247627434,0.08203601336674159,0.10296142494915725,0.017922006423968483,0,0,0,0.3431404311383588,1.1015730039007754
WL1513_Pd12M3,0,0,0.05881549628789058,0.5572104231962608,0.044686126592071995,0.05759889337327559,0.042100850274007354,0.04224545057835544,0.10803160532770954,0.06520715161844814,0,0.024104002751980585,0,0.3576492291720271,1.086665474275468
WL1514_Pd12M4,0,0,0.05589521368968522,0.6364765641730067,0.07908000945242424,0.028554336932097767,0.029754595473957136,0.06254675981408338,0.09035667268431453,0.01582217270161049,0,0.0015136750788205583,0,0.3218101653982365,1.1206078244539739
WL1515_Pd12M5,0,0,0.05697391809350343,0.634429377483335,0.05895147125696698,0.029641363421957643,0.028690143122971724,0.0697592020392607,0.1046310516356904,0.016923472946314008,0,0,0,0.35228974000685315,1.0944798335358026
WL1516_Pd12M6,0,0,0.06877078841973173,0.6182253730405194,0.059574001223108373,0.054147254005970244,0.030660643062167207,0.05350495297199579,0.08286855516591886,0.015098903240759224,0,0.017149528869829126,0,0.35434930675623383,1.0925034965233318
WL1517_Pd22F1,0.026550501251697164,0,0.029298075864936452,0.562490535978723,0.0806633746483306,0,0.01720857928311328,0.04728320451681552,0.236505728456384,0,0,0,0,0.3187089757729354,1.1171234902698903
WL1518_Pd22F2,0,0,0.03498218863901977,0.6947683440145028,0.10006226338518212,0,0.024557692135130857,0.04373664105758412,0.08761913457059231,0.014273736197987937,0,0,0,0.27682359454157174,1.1572991237877435
WL1519_Pd22F3,0,0,0.05708908884531807,0.5984901107698666,0.08364930273016494,0.07087592167407802,0.017552720907464563,0.03042039509149405,0.13271629164632523,0.006391318153003194,0,0.0028148501822852982,0,0.3416632516410418,1.1002940487245432
WL1520_Pd22F4,0.007861836424189968,0,0.05621013530617646,0.547624782797892,0.09875763347932029,0.014918544654451684,0.03711143406685663,0.036494691293260544,0.16205207087880177,0.0389688710990507,0,0,0,0.3285520777562475,1.1122278549843625
