MGI.symbol	source	source_group
2900011O08Rik	Day2017_nearest	puberty_GWAS
4930447C04Rik	Day2017_nearest	puberty_GWAS
4930453N24Rik	Day2017_nearest	puberty_GWAS
Aak1	Day2017_nearest	puberty_GWAS
Aamdc	Day2017_nearest	puberty_GWAS
Acad11	Perry2014	puberty_GWAS
Adar	Day2017_nearest	puberty_GWAS
Adarb2	Perry2014;Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
Adcy8	Day2017_nearest	puberty_GWAS
Adgrl2	Day2017_nearest	puberty_GWAS
Agxt2	Day2017_nearest	puberty_GWAS
Aip	Ye2015_PA_GWAS;Hauser2019_PA	pituitary_disease_GWAS;pituitary_disease
Akap1	Hollis2020_GWAS_VB_FH	puberty_GWAS
Alkal2	Day2017_nearest	puberty_GWAS
Alms1	Day2015_GWAS_VB	puberty_GWAS
Alox8	Perry2014	puberty_GWAS
Alx4	Hollis2020_GWAS_VB_FH	puberty_GWAS
Ambra1	Day2017_nearest	puberty_GWAS
Anxa1	Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
Ap4m1	Day2017_nearest	puberty_GWAS
Arhgap40	Day2017_nearest	puberty_GWAS
Arid5b	Day2017_nearest	puberty_GWAS
Arl14ep	Day2017_nearest	puberty_GWAS
Armh3	Day2017_nearest	puberty_GWAS
Arnt2	Fang2016_CPHD	pituitary_disease
Arntl	Perry2014;Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
Ascc3	Perry2014;Day2017_nearest	puberty_GWAS
Asic2	Hollis2020_GWAS_VB_FH	puberty_GWAS
Atad2b	Day2017_nearest	puberty_GWAS
Ate1	Day2017_nearest	puberty_GWAS
Atrnl1	Day2017_nearest	puberty_GWAS
Bahcc1	Day2017_nearest	puberty_GWAS
Barhl2	Day2017_nearest	puberty_GWAS
Bcdin3d	Perry2014	puberty_GWAS
Bcl11a	Perry2014	puberty_GWAS
Bcl11b	Day2017_nearest	puberty_GWAS
Bdnf	Perry2014;Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
Begain	Perry2014	puberty_GWAS
Bend6	Perry2014;Day2017_nearest	puberty_GWAS
Bend7	Day2017_nearest	puberty_GWAS
Bet1l	Day2017_nearest;Day2017_nearest	puberty_GWAS
Birc6	Day2017_nearest	puberty_GWAS
Bmp4	Fang2016_CPHD;Ye2015_PA_GWAS	pituitary_disease;pituitary_disease_GWAS
Braf	Hauser2019_PA	pituitary_disease
Brd3	Day2017_nearest	puberty_GWAS
Brd8	Perry2014	puberty_GWAS
Brwd1	Perry2014	puberty_GWAS
Bsx	Perry2014;Day2015_GWAS_VB	puberty_GWAS
Btk	Kurtoglu2019_hypopituitarism	pituitary_disease
Bysl	Perry2014;Day2017_nearest	puberty_GWAS
C77080	Day2017_nearest	puberty_GWAS
Cadm1	Perry2014;Day2017_nearest	puberty_GWAS
Cadps2	Perry2014;Day2017_nearest	puberty_GWAS
Calcr	Day2017_nearest	puberty_GWAS
Camkmt	Day2017_nearest	puberty_GWAS
Camta1	Day2017_nearest	puberty_GWAS
Car10	Perry2014;Day2017_nearest	puberty_GWAS
Car8	Hollis2020_GWAS_VB_FH	puberty_GWAS
Casd1	Day2017_nearest	puberty_GWAS
Cbx4	Day2017_nearest	puberty_GWAS
Cbx7	Perry2014	puberty_GWAS
Ccdc170	Day2017_nearest	puberty_GWAS
Ccdc190	Day2017_nearest	puberty_GWAS
Ccdc36	Day2017_nearest	puberty_GWAS
Ccdc85a	Perry2014;Day2017_nearest	puberty_GWAS
Ccnl1	Perry2014	puberty_GWAS
Cdh1	Ye2015_PA_GWAS	pituitary_disease_GWAS
Cdk8	Ye2015_PA_GWAS	pituitary_disease_GWAS
Cdkn1b	Ye2015_PA_GWAS;Hauser2019_PA	pituitary_disease_GWAS;pituitary_disease
Cdkn2c	Hauser2019_PA	pituitary_disease
Cdon	Fang2016_CPHD	pituitary_disease
Cenpe	Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
Cenpw	Perry2014;Day2017_nearest	puberty_GWAS
